Point	Label	1	2	3	4	5
1	L	0	1	1	0	0
2	J	0	1	0	1	0
3	F	0	0	1	1	0
4	C	0	0	0	1	1
5	L	0	1	1	0	0
6	E	0	0	1	0	1
7	B	0	0	0	1	0
8	N	0	1	1	1	0
9	H	0	1	0	0	0
10	O	0	1	1	1	1
11	V	1	0	1	1	0
12	Z	1	1	0	0	0
13	Z	1	1	0	0	0
14	Q	1	0	0	0	1
15	G	0	0	1	1	1
16	L	0	1	1	0	0
17	B	0	0	0	1	0
18	N	0	1	1	1	0
19	H	0	1	0	0	0
20	O	0	1	1	1	1
21	V	1	0	1	1	0
22	V	1	0	1	1	0
23	R	1	0	0	1	0
24	X	0	0	0	0	0
25	L	0	1	1	0	0
26	I	0	1	0	0	1
27	P	1	0	0	0	0
28	K	0	1	0	1	1
29	X	0	0	0	0	0
30	N	0	1	1	1	0
31	N	0	1	1	1	0
32	K	0	1	0	1	1
33	S	1	0	0	1	1
34	F	0	0	1	1	0
35	N	0	1	1	1	0
36	C	0	0	0	1	1
37	G	0	0	1	1	1
38	L	0	1	1	0	0
39	L	0	1	1	0	0
40	E	0	0	1	0	1
41	B	0	0	0	1	0
42	N	0	1	1	1	0
43	H	0	1	0	0	0
44	O	0	1	1	1	1
45	U	1	0	1	0	1
46	X	0	0	0	0	0
47	N	0	1	1	1	0
48	K	0	1	0	1	1
49	R	1	0	0	1	0
50	W	1	0	1	1	1
51	C	0	0	0	1	1
52	G	0	0	1	1	1
53	A	0	0	0	0	1
54	L	0	1	1	0	0
55	E	0	0	1	0	1
56	R	1	0	0	1	0
57	V	1	0	1	1	0
58	V	1	0	1	1	0
59	O	0	1	1	1	1
60	U	1	0	1	0	1
61	I	0	1	0	0	1
62	L	0	1	1	0	0
63	L	0	1	1	0	0
64	I	0	1	0	0	1
65	U	1	0	1	0	1
66	O	0	1	1	1	1
67	B	0	0	0	1	0
68	K	0	1	0	1	1
69	C	0	0	0	1	1
70	N	0	1	1	1	0
71	N	0	1	1	1	0
72	K	0	1	0	1	1
73	W	1	0	1	1	1
74	R	1	0	0	1	0
75	D	0	0	1	0	0
76	I	0	1	0	0	1
77	A	0	0	0	0	1
78	N	0	1	1	1	0
79	K	0	1	0	1	1
80	W	1	0	1	1	1
81	S	1	0	0	1	1
82	G	0	0	1	1	1
83	Q	1	0	0	0	1
84	Z	1	1	0	0	0
85	Z	1	1	0	0	0
86	S	1	0	0	1	1
87	E	0	0	1	0	1
88	R	1	0	0	1	0
89	U	1	0	1	0	1
90	L	0	1	1	0	0
91	B	0	0	0	1	0
92	N	0	1	1	1	0
93	V	1	0	1	1	0
94	U	1	0	1	0	1
95	O	0	1	1	1	1
96	D	0	0	1	0	0
97	L	0	1	1	0	0
98	M	0	1	1	0	1
99	C	0	0	0	1	1
100	N	0	1	1	1	0
101	M	0	1	1	0	1
102	B	0	0	0	1	0
103	H	0	1	0	0	0
104	K	0	1	0	1	1
105	W	1	0	1	1	1
106	R	1	0	0	1	0
107	D	0	0	1	0	0
108	K	0	1	0	1	1
109	C	0	0	0	1	1
110	S	1	0	0	1	1
111	G	0	0	1	1	1
112	O	0	1	1	1	1
113	V	1	0	1	1	0
114	K	0	1	0	1	1
115	D	0	0	1	0	0
116	I	0	1	0	0	1
117	A	0	0	0	0	1
118	L	0	1	1	0	0
119	L	0	1	1	0	0
120	J	0	1	0	1	0
121	F	0	0	1	1	0
122	C	0	0	0	1	1
123	L	0	1	1	0	0
124	A	0	0	0	0	1
125	S	1	0	0	1	1
126	Q	1	0	0	0	1
127	L	0	1	1	0	0
128	U	1	0	1	0	1
129	X	0	0	0	0	0
130	L	0	1	1	0	0
131	K	0	1	0	1	1
132	N	0	1	1	1	0
133	N	0	1	1	1	0
134	J	0	1	0	1	0
135	G	0	0	1	1	1
136	A	0	0	0	0	1
137	L	0	1	1	0	0
138	L	0	1	1	0	0
139	E	0	0	1	0	1
140	B	0	0	0	1	0
141	N	0	1	1	1	0
142	H	0	1	0	0	0
143	O	0	1	1	1	1
144	U	1	0	1	0	1
145	A	0	0	0	0	1
146	F	0	0	1	1	0
147	C	0	0	0	1	1
148	N	0	1	1	1	0
149	H	0	1	0	0	0
150	O	0	1	1	1	1
151	V	1	0	1	1	0
152	V	1	0	1	1	0
153	R	1	0	0	1	0
154	V	1	0	1	1	0
155	I	0	1	0	0	1
156	A	0	0	0	0	1
157	Q	1	0	0	0	1
158	F	0	0	1	1	0
159	S	1	0	0	1	1
160	Z	1	1	0	0	0
161	W	1	0	1	1	1
162	N	0	1	1	1	0
163	C	0	0	0	1	1
164	N	0	1	1	1	0
165	M	0	1	1	0	1
166	X	0	0	0	0	0
167	L	0	1	1	0	0
168	I	0	1	0	0	1
169	O	0	1	1	1	1
170	V	1	0	1	1	0
171	V	1	0	1	1	0
172	T	1	0	1	0	0
173	E	0	0	1	0	1
174	O	0	1	1	1	1
175	X	0	0	0	0	0
176	L	0	1	1	0	0
177	K	0	1	0	1	1
178	N	0	1	1	1	0
179	N	0	1	1	1	0
180	K	0	1	0	1	1
181	S	1	0	0	1	1
182	F	0	0	1	1	0
183	N	0	1	1	1	0
184	D	0	0	1	0	0
185	L	0	1	1	0	0
186	E	0	0	1	0	1
187	R	1	0	0	1	0
188	W	1	0	1	1	1
189	C	0	0	0	1	1
190	G	0	0	1	1	1
191	A	0	0	0	0	1
192	L	0	1	1	0	0
193	E	0	0	1	0	1
194	R	1	0	0	1	0
195	V	1	0	1	1	0
196	V	1	0	1	1	0
197	O	0	1	1	1	1
198	V	1	0	1	1	0
199	I	0	1	0	0	1
200	A	0	0	0	0	1
201	M	0	1	1	0	1
202	X	0	0	0	0	0
203	L	0	1	1	0	0
204	I	0	1	0	0	1
205	Q	1	0	0	0	1
206	G	0	0	1	1	1
207	L	0	1	1	0	0
208	B	0	0	0	1	0
209	N	0	1	1	1	0
210	H	0	1	0	0	0
211	O	0	1	1	1	1
212	U	1	0	1	0	1
213	A	0	0	0	0	1
214	F	0	0	1	1	0
215	C	0	0	0	1	1
216	L	0	1	1	0	0
217	B	0	0	0	1	0
218	N	0	1	1	1	0
219	H	0	1	0	0	0
220	O	0	1	1	1	1
221	W	1	0	1	1	1
222	N	0	1	1	1	0
223	C	0	0	0	1	1
