Point	Label	A	B	C	D
1	A	1	0	0	0
2	B	0	1	0	0
3	C	0	0	1	0
4	D	0	0	0	1
5	C	0	0	1	0
6	A	1	0	0	0
7	B	0	1	0	0
8	C	0	0	1	0
9	D	0	0	0	1
10	B	0	1	0	0
11	A	1	0	0	0
12	B	0	1	0	0
13	C	0	0	1	0
14	D	0	0	0	1
15	A	1	0	0	0
16	A	1	0	0	0
17	A	1	0	0	0
18	B	0	1	0	0
19	A	1	0	0	0
20	B	0	1	0	0
21	C	0	0	1	0
22	D	0	0	0	1
23	A	1	0	0	0
24	A	1	0	0	0
25	A	1	0	0	0
26	B	0	1	0	0
27	A	1	0	0	0
28	B	0	1	0	0
29	C	0	0	1	0
30	D	0	0	0	1
31	A	1	0	0	0
32	B	0	1	0	0
33	C	0	0	1	0
34	D	0	0	0	1
35	C	0	0	1	0
36	A	1	0	0	0
37	B	0	1	0	0
38	C	0	0	1	0
39	D	0	0	0	1
40	B	0	1	0	0
41	A	1	0	0	0
42	B	0	1	0	0
43	C	0	0	1	0
44	D	0	0	0	1
45	A	1	0	0	0
46	A	1	0	0	0
47	A	1	0	0	0
48	B	0	1	0	0
49	A	1	0	0	0
50	B	0	1	0	0
51	C	0	0	1	0
52	D	0	0	0	1
53	A	1	0	0	0
54	A	1	0	0	0
55	A	1	0	0	0
56	B	0	1	0	0
57	A	1	0	0	0
58	B	0	1	0	0
59	C	0	0	1	0
60	D	0	0	0	1
61	A	1	0	0	0
62	B	0	1	0	0
63	C	0	0	1	0
64	D	0	0	0	1
65	C	0	0	1	0
66	A	1	0	0	0
67	B	0	1	0	0
68	C	0	0	1	0
69	D	0	0	0	1
70	B	0	1	0	0
71	A	1	0	0	0
72	B	0	1	0	0
73	C	0	0	1	0
74	D	0	0	0	1
75	A	1	0	0	0
76	A	1	0	0	0
77	A	1	0	0	0
78	B	0	1	0	0
79	A	1	0	0	0
80	B	0	1	0	0
81	C	0	0	1	0
82	D	0	0	0	1
83	A	1	0	0	0
84	A	1	0	0	0
85	A	1	0	0	0
86	B	0	1	0	0
87	A	1	0	0	0
88	B	0	1	0	0
89	C	0	0	1	0
90	D	0	0	0	1
91	A	1	0	0	0
92	B	0	1	0	0
93	C	0	0	1	0
94	D	0	0	0	1
95	C	0	0	1	0
96	A	1	0	0	0
97	B	0	1	0	0
98	C	0	0	1	0
99	D	0	0	0	1
100	B	0	1	0	0
101	A	1	0	0	0
102	B	0	1	0	0
103	C	0	0	1	0
104	D	0	0	0	1
105	A	1	0	0	0
106	A	1	0	0	0
107	A	1	0	0	0
108	B	0	1	0	0
109	A	1	0	0	0
110	B	0	1	0	0
111	C	0	0	1	0
112	D	0	0	0	1
113	A	1	0	0	0
114	A	1	0	0	0
115	A	1	0	0	0
116	B	0	1	0	0
117	A	1	0	0	0
118	B	0	1	0	0
119	C	0	0	1	0
120	D	0	0	0	1
121	A	1	0	0	0
122	B	0	1	0	0
123	C	0	0	1	0
124	D	0	0	0	1
125	C	0	0	1	0
126	A	1	0	0	0
127	B	0	1	0	0
128	C	0	0	1	0
129	D	0	0	0	1
130	B	0	1	0	0
131	A	1	0	0	0
132	B	0	1	0	0
133	C	0	0	1	0
134	D	0	0	0	1
135	A	1	0	0	0
136	A	1	0	0	0
137	A	1	0	0	0
138	B	0	1	0	0
139	A	1	0	0	0
140	B	0	1	0	0
141	C	0	0	1	0
142	D	0	0	0	1
143	A	1	0	0	0
144	A	1	0	0	0
145	A	1	0	0	0
146	B	0	1	0	0
147	A	1	0	0	0
148	B	0	1	0	0
149	C	0	0	1	0
150	D	0	0	0	1
151	A	1	0	0	0
152	B	0	1	0	0
153	C	0	0	1	0
154	D	0	0	0	1
155	C	0	0	1	0
156	A	1	0	0	0
157	B	0	1	0	0
158	C	0	0	1	0
159	D	0	0	0	1
160	B	0	1	0	0
161	A	1	0	0	0
162	B	0	1	0	0
163	C	0	0	1	0
164	D	0	0	0	1
165	A	1	0	0	0
166	A	1	0	0	0
167	A	1	0	0	0
168	B	0	1	0	0
169	A	1	0	0	0
170	B	0	1	0	0
171	C	0	0	1	0
172	D	0	0	0	1
173	A	1	0	0	0
174	A	1	0	0	0
175	A	1	0	0	0
176	B	0	1	0	0
177	A	1	0	0	0
178	B	0	1	0	0
179	C	0	0	1	0
180	D	0	0	0	1
181	A	1	0	0	0
182	B	0	1	0	0
183	C	0	0	1	0
184	D	0	0	0	1
185	C	0	0	1	0
186	A	1	0	0	0
187	B	0	1	0	0
188	C	0	0	1	0
189	D	0	0	0	1
190	B	0	1	0	0
191	A	1	0	0	0
192	B	0	1	0	0
193	C	0	0	1	0
194	D	0	0	0	1
195	A	1	0	0	0
196	A	1	0	0	0
197	A	1	0	0	0
198	B	0	1	0	0
199	A	1	0	0	0
200	B	0	1	0	0
201	C	0	0	1	0
202	D	0	0	0	1
203	A	1	0	0	0
204	A	1	0	0	0
205	A	1	0	0	0
206	B	0	1	0	0
207	A	1	0	0	0
208	B	0	1	0	0
209	C	0	0	1	0
210	D	0	0	0	1
