Point	Label	A	B	C
1	B	0	1	0
2	C	0	0	1
3	B	0	1	0
4	A	1	0	0
5	A	1	0	0
6	A	1	0	0
7	A	1	0	0
8	A	1	0	0
9	A	1	0	0
10	A	1	0	0
11	A	1	0	0
12	A	1	0	0
13	A	1	0	0
14	A	1	0	0
15	A	1	0	0
16	A	1	0	0
17	A	1	0	0
18	A	1	0	0
19	A	1	0	0
20	A	1	0	0
21	A	1	0	0
22	C	0	0	1
23	B	0	1	0
24	A	1	0	0
25	A	1	0	0
26	A	1	0	0
27	A	1	0	0
28	A	1	0	0
29	A	1	0	0
30	A	1	0	0
31	A	1	0	0
32	A	1	0	0
33	A	1	0	0
34	A	1	0	0
35	C	0	0	1
36	B	0	1	0
37	A	1	0	0
38	A	1	0	0
39	A	1	0	0
40	A	1	0	0
41	A	1	0	0
42	A	1	0	0
43	A	1	0	0
44	C	0	0	1
45	B	0	1	0
46	A	1	0	0
47	A	1	0	0
48	A	1	0	0
49	A	1	0	0
50	X	0	0	0
