Point	Label	1	2	3	4	5
1	N	0	1	1	1	0
2	K	0	1	0	1	1
3	R	1	0	0	1	0
4	V	1	0	1	1	0
5	V	1	0	1	1	0
6	O	0	1	1	1	1
7	V	1	0	1	1	0
8	I	0	1	0	0	1
9	A	0	0	0	0	1
10	N	0	1	1	1	0
11	K	0	1	0	1	1
12	W	1	0	1	1	1
13	R	1	0	0	1	0
14	D	0	0	1	0	0
15	I	0	1	0	0	1
16	A	0	0	0	0	1
17	N	0	1	1	1	0
18	K	0	1	0	1	1
19	Z	1	1	0	0	0
20	Q	1	0	0	0	1
21	Z	1	1	0	0	0
22	W	1	0	1	1	1
23	C	0	0	0	1	1
24	G	0	0	1	1	1
25	A	0	0	0	0	1
26	N	0	1	1	1	0
27	C	0	0	0	1	1
28	G	0	0	1	1	1
29	L	0	1	1	0	0
30	L	0	1	1	0	0
31	E	0	0	1	0	1
32	B	0	0	0	1	0
33	N	0	1	1	1	0
34	H	0	1	0	0	0
35	O	0	1	1	1	1
36	V	1	0	1	1	0
37	V	1	0	1	1	0
38	R	1	0	0	1	0
39	V	1	0	1	1	0
40	I	0	1	0	0	1
41	A	0	0	0	0	1
42	Q	1	0	0	0	1
43	F	0	0	1	1	0
44	R	1	0	0	1	0
45	W	1	0	1	1	1
46	K	0	1	0	1	1
47	N	0	1	1	1	0
48	N	0	1	1	1	0
49	K	0	1	0	1	1
50	W	1	0	1	1	1
51	S	1	0	0	1	1
52	G	0	0	1	1	1
53	O	0	1	1	1	1
54	U	1	0	1	0	1
55	I	0	1	0	0	1
56	L	0	1	1	0	0
57	L	0	1	1	0	0
58	I	0	1	0	0	1
59	Z	1	1	0	0	0
60	S	1	0	0	1	1
61	W	1	0	1	1	1
62	R	1	0	0	1	0
63	B	0	0	0	1	0
64	N	0	1	1	1	0
65	M	0	1	1	0	1
66	B	0	0	0	1	0
67	H	0	1	0	0	0
68	I	0	1	0	0	1
69	L	0	1	1	0	0
70	L	0	1	1	0	0
71	J	0	1	0	1	0
72	F	0	0	1	1	0
73	C	0	0	0	1	1
74	N	0	1	1	1	0
75	M	0	1	1	0	1
76	B	0	0	0	1	0
77	H	0	1	0	0	0
78	I	0	1	0	0	1
79	L	0	1	1	0	0
80	M	0	1	1	0	1
81	D	0	0	1	0	0
82	J	0	1	0	1	0
83	Z	1	1	0	0	0
84	S	1	0	0	1	1
85	Z	1	1	0	0	0
86	U	1	0	1	0	1
87	A	0	0	0	0	1
88	F	0	0	1	1	0
89	C	0	0	0	1	1
90	N	0	1	1	1	0
91	H	0	1	0	0	0
92	P	1	0	0	0	0
93	K	0	1	0	1	1
94	N	0	1	1	1	0
95	M	0	1	1	0	1
96	B	0	0	0	1	0
97	N	0	1	1	1	0
98	Z	1	1	0	0	0
99	S	1	0	0	1	1
100	F	0	0	1	1	0
101	N	0	1	1	1	0
102	C	0	0	0	1	1
103	G	0	0	1	1	1
104	M	0	1	1	0	1
105	B	0	0	0	1	0
106	H	0	1	0	0	0
107	I	0	1	0	0	1
108	L	0	1	1	0	0
109	M	0	1	1	0	1
110	D	0	0	1	0	0
111	L	0	1	1	0	0
112	Z	1	1	0	0	0
113	Q	1	0	0	0	1
114	H	0	1	0	0	0
115	O	0	1	1	1	1
116	W	1	0	1	1	1
117	N	0	1	1	1	0
118	C	0	0	0	1	1
119	L	0	1	1	0	0
120	I	0	1	0	0	1
121	Q	1	0	0	0	1
122	G	0	0	1	1	1
123	L	0	1	1	0	0
124	A	0	0	0	0	1
125	F	0	0	1	1	0
126	M	0	1	1	0	1
127	D	0	0	1	0	0
128	E	0	0	1	0	1
129	X	0	0	0	0	0
130	X	0	0	0	0	0
131	L	0	1	1	0	0
132	I	0	1	0	0	1
133	O	0	1	1	1	1
134	V	1	0	1	1	0
135	V	1	0	1	1	0
136	R	1	0	0	1	0
137	V	1	0	1	1	0
138	I	0	1	0	0	1
139	A	0	0	0	0	1
140	P	1	0	0	0	0
141	W	1	0	1	1	1
142	K	0	1	0	1	1
143	N	0	1	1	1	0
144	N	0	1	1	1	0
145	K	0	1	0	1	1
146	W	1	0	1	1	1
147	R	1	0	0	1	0
148	D	0	0	1	0	0
149	I	0	1	0	0	1
150	A	0	0	0	0	1
151	N	0	1	1	1	0
152	K	0	1	0	1	1
153	Z	1	1	0	0	0
154	Q	1	0	0	0	1
155	Z	1	1	0	0	0
156	Z	1	1	0	0	0
157	S	1	0	0	1	1
158	F	0	0	1	1	0
159	N	0	1	1	1	0
160	C	0	0	0	1	1
161	G	0	0	1	1	1
162	L	0	1	1	0	0
163	L	0	1	1	0	0
164	E	0	0	1	0	1
165	B	0	0	0	1	0
166	N	0	1	1	1	0
167	H	0	1	0	0	0
168	O	0	1	1	1	1
169	U	1	0	1	0	1
170	A	0	0	0	0	1
171	F	0	0	1	1	0
172	C	0	0	0	1	1
173	N	0	1	1	1	0
174	H	0	1	0	0	0
175	P	1	0	0	0	0
176	K	0	1	0	1	1
177	N	0	1	1	1	0
178	N	0	1	1	1	0
179	J	0	1	0	1	0
180	G	0	0	1	1	1
181	A	0	0	0	0	1
182	L	0	1	1	0	0
183	L	0	1	1	0	0
184	E	0	0	1	0	1
185	B	0	0	0	1	0
186	N	0	1	1	1	0
187	H	0	1	0	0	0
188	O	0	1	1	1	1
189	V	1	0	1	1	0
190	W	1	0	1	1	1
191	S	1	0	0	1	1
192	Q	1	0	0	0	1
193	N	0	1	1	1	0
194	C	0	0	0	1	1
195	L	0	1	1	0	0
196	I	0	1	0	0	1
197	Q	1	0	0	0	1
198	H	0	1	0	0	0
199	P	1	0	0	0	0
200	J	0	1	0	1	0
201	F	0	0	1	1	0
202	C	0	0	0	1	1
203	N	0	1	1	1	0
204	M	0	1	1	0	1
205	B	0	0	0	1	0
206	H	0	1	0	0	0
207	K	0	1	0	1	1
208	S	1	0	0	1	1
209	F	0	0	1	1	0
210	N	0	1	1	1	0
211	D	0	0	1	0	0
212	L	0	1	1	0	0
