Point	Label	1	2	3	4	5
1	L	0	1	1	0	0
2	I	0	1	0	0	1
3	Q	1	0	0	0	1
4	G	0	0	1	1	1
5	L	0	1	1	0	0
6	A	0	0	0	0	1
7	F	0	0	1	1	0
8	N	0	1	1	1	0
9	N	0	1	1	1	0
10	L	0	1	1	0	0
11	M	0	1	1	0	1
12	D	0	0	1	0	0
13	E	0	0	1	0	1
14	I	0	1	0	0	1
15	Q	1	0	0	0	1
16	G	0	0	1	1	1
17	M	0	1	1	0	1
18	D	0	0	1	0	0
19	E	0	0	1	0	1
20	B	0	0	0	1	0
21	V	1	0	1	1	0
22	V	1	0	1	1	0
23	T	1	0	1	0	0
24	E	0	0	1	0	1
25	P	1	0	0	0	0
26	V	1	0	1	1	0
27	I	0	1	0	0	1
28	A	0	0	0	0	1
29	P	1	0	0	0	0
30	W	1	0	1	1	1
31	K	0	1	0	1	1
32	N	0	1	1	1	0
33	N	0	1	1	1	0
34	K	0	1	0	1	1
35	W	1	0	1	1	1
36	S	1	0	0	1	1
37	S	1	0	0	1	1
38	G	0	0	1	1	1
39	Q	1	0	0	0	1
40	Z	1	1	0	0	0
41	Z	1	1	0	0	0
42	S	1	0	0	1	1
43	F	0	0	1	1	0
44	N	0	1	1	1	0
45	C	0	0	0	1	1
46	G	0	0	1	1	1
47	M	0	1	1	0	1
48	B	0	0	0	1	0
49	H	0	1	0	0	0
50	K	0	1	0	1	1
51	T	1	0	1	0	0
52	I	0	1	0	0	1
53	M	0	1	1	0	1
54	B	0	0	0	1	0
55	N	0	1	1	1	0
56	W	1	0	1	1	1
57	C	0	0	0	1	1
58	G	0	0	1	1	1
59	A	0	0	0	0	1
60	L	0	1	1	0	0
61	E	0	0	1	0	1
62	T	1	0	1	0	0
63	I	0	1	0	0	1
64	L	0	1	1	0	0
65	M	0	1	1	0	1
66	D	0	0	1	0	0
67	L	0	1	1	0	0
68	Z	1	1	0	0	0
69	O	0	1	1	1	1
70	V	1	0	1	1	0
71	V	1	0	1	1	0
72	R	1	0	0	1	0
73	V	1	0	1	1	0
74	K	0	1	0	1	1
75	C	0	0	0	1	1
76	L	0	1	1	0	0
77	J	0	1	0	1	0
78	F	0	0	1	1	0
79	C	0	0	0	1	1
80	N	0	1	1	1	0
81	M	0	1	1	0	1
82	B	0	0	0	1	0
83	H	0	1	0	0	0
84	I	0	1	0	0	1
85	L	0	1	1	0	0
86	M	0	1	1	0	1
87	D	0	0	1	0	0
88	J	0	1	0	1	0
89	W	1	0	1	1	1
90	K	0	1	0	1	1
91	N	0	1	1	1	0
92	M	0	1	1	0	1
93	B	0	0	0	1	0
94	K	0	1	0	1	1
95	C	0	0	0	1	1
96	S	1	0	0	1	1
97	G	0	0	1	1	1
98	O	0	1	1	1	1
99	V	1	0	1	1	0
100	X	0	0	0	0	0
101	L	0	1	1	0	0
102	I	0	1	0	0	1
103	Q	1	0	0	0	1
104	G	0	0	1	1	1
105	L	0	1	1	0	0
106	A	0	0	0	0	1
107	F	0	0	1	1	0
108	N	0	1	1	1	0
109	L	0	1	1	0	0
110	L	0	1	1	0	0
111	L	0	1	1	0	0
112	M	0	1	1	0	1
113	D	0	0	1	0	0
114	E	0	0	1	0	1
115	I	0	1	0	0	1
116	Q	1	0	0	0	1
117	G	0	0	1	1	1
118	M	0	1	1	0	1
119	D	0	0	1	0	0
120	E	0	0	1	0	1
121	B	0	0	0	1	0
122	V	1	0	1	1	0
123	V	1	0	1	1	0
124	T	1	0	1	0	0
125	E	0	0	1	0	1
126	P	1	0	0	0	0
127	W	1	0	1	1	1
128	K	0	1	0	1	1
129	N	0	1	1	1	0
130	N	0	1	1	1	0
131	K	0	1	0	1	1
132	Z	1	1	0	0	0
133	Q	1	0	0	0	1
134	Z	1	1	0	0	0
135	Z	1	1	0	0	0
136	X	0	0	0	0	0
137	N	0	1	1	1	0
138	J	0	1	0	1	0
139	G	0	0	1	1	1
140	A	0	0	0	0	1
141	N	0	1	1	1	0
142	H	0	1	0	0	0
143	C	0	0	0	1	1
144	G	0	0	1	1	1
145	M	0	1	1	0	1
146	B	0	0	0	1	0
147	H	0	1	0	0	0
148	K	0	1	0	1	1
149	S	1	0	0	1	1
150	F	0	0	1	1	0
151	N	0	1	1	1	0
152	D	0	0	1	0	0
153	L	0	1	1	0	0
154	N	0	1	1	1	0
155	D	0	0	1	0	0
156	L	0	1	1	0	0
157	X	0	0	0	0	0
158	N	0	1	1	1	0
159	K	0	1	0	1	1
160	S	1	0	0	1	1
161	F	0	0	1	1	0
162	M	0	1	1	0	1
163	B	0	0	0	1	0
164	H	0	1	0	0	0
165	D	0	0	1	0	0
166	U	1	0	1	0	1
167	L	0	1	1	0	0
168	A	0	0	0	0	1
169	L	0	1	1	0	0
170	M	0	1	1	0	1
171	D	0	0	1	0	0
172	L	0	1	1	0	0
173	Z	1	1	0	0	0
174	P	1	0	0	0	0
175	K	0	1	0	1	1
176	N	0	1	1	1	0
177	N	0	1	1	1	0
178	K	0	1	0	1	1
179	R	1	0	0	1	0
180	V	1	0	1	1	0
181	V	1	0	1	1	0
182	O	0	1	1	1	1
183	W	1	0	1	1	1
184	R	1	0	0	1	0
185	D	0	0	1	0	0
186	I	0	1	0	0	1
187	A	0	0	0	0	1
188	L	0	1	1	0	0
189	M	0	1	1	0	1
190	D	0	0	1	0	0
191	J	0	1	0	1	0
192	Z	1	1	0	0	0
193	T	1	0	1	0	0
194	E	0	0	1	0	1
195	O	0	1	1	1	1
196	B	0	0	0	1	0
197	K	0	1	0	1	1
198	C	0	0	0	1	1
199	L	0	1	1	0	0
200	J	0	1	0	1	0
201	F	0	0	1	1	0
202	C	0	0	0	1	1
203	N	0	1	1	1	0
204	M	0	1	1	0	1
205	B	0	0	0	1	0
206	H	0	1	0	0	0
207	I	0	1	0	0	1
208	M	0	1	1	0	1
209	B	0	0	0	1	0
210	J	0	1	0	1	0
211	Z	1	1	0	0	0
212	P	1	0	0	0	0
213	H	0	1	0	0	0
214	X	0	0	0	0	0
215	L	0	1	1	0	0
216	I	0	1	0	0	1
217	X	0	0	0	0	0
218	L	0	1	1	0	0
219	I	0	1	0	0	1
220	X	0	0	0	0	0
221	L	0	1	1	0	0
222	I	0	1	0	0	1
223	X	0	0	0	0	0
224	L	0	1	1	0	0
225	I	0	1	0	0	1
226	X	0	0	0	0	0
227	L	0	1	1	0	0
228	I	0	1	0	0	1
229	X	0	0	0	0	0
230	L	0	1	1	0	0
231	I	0	1	0	0	1
232	X	0	0	0	0	0
233	L	0	1	1	0	0
234	I	0	1	0	0	1
235	X	0	0	0	0	0
236	L	0	1	1	0	0
237	I	0	1	0	0	1
238	Q	1	0	0	0	1
239	G	0	0	1	1	1
240	L	0	1	1	0	0
241	A	0	0	0	0	1
242	F	0	0	1	1	0
243	N	0	1	1	1	0
244	N	0	1	1	1	0
245	L	0	1	1	0	0
246	M	0	1	1	0	1
247	D	0	0	1	0	0
248	E	0	0	1	0	1
249	I	0	1	0	0	1
250	Q	1	0	0	0	1
251	G	0	0	1	1	1
252	M	0	1	1	0	1
253	D	0	0	1	0	0
254	E	0	0	1	0	1
255	B	0	0	0	1	0
256	V	1	0	1	1	0
257	V	1	0	1	1	0
258	T	1	0	1	0	0
259	E	0	0	1	0	1
260	P	1	0	0	0	0
261	V	1	0	1	1	0
262	K	0	1	0	1	1
263	C	0	0	0	1	1
264	N	0	1	1	1	0
265	N	0	1	1	1	0
266	K	0	1	0	1	1
267	Z	1	1	0	0	0
268	Q	1	0	0	0	1
269	Z	1	1	0	0	0
270	W	1	0	1	1	1
271	C	0	0	0	1	1
272	G	0	0	1	1	1
273	A	0	0	0	0	1
274	N	0	1	1	1	0
275	C	0	0	0	1	1
276	G	0	0	1	1	1
277	M	0	1	1	0	1
278	B	0	0	0	1	0
279	H	0	1	0	0	0
280	I	0	1	0	0	1
281	M	0	1	1	0	1
282	B	0	0	0	1	0
283	N	0	1	1	1	0
284	Z	1	1	0	0	0
285	S	1	0	0	1	1
286	F	0	0	1	1	0
287	L	0	1	1	0	0
288	E	0	0	1	0	1
289	T	1	0	1	0	0
290	I	0	1	0	0	1
291	L	0	1	1	0	0
292	M	0	1	1	0	1
293	D	0	0	1	0	0
294	L	0	1	1	0	0
295	Z	1	1	0	0	0
296	O	0	1	1	1	1
297	O	0	1	1	1	1
298	V	1	0	1	1	0
299	U	1	0	1	0	1
300	U	1	0	1	0	1
301	X	0	0	0	0	0
302	N	0	1	1	1	0
303	K	0	1	0	1	1
304	R	1	0	0	1	0
305	V	1	0	1	1	0
306	V	1	0	1	1	0
307	P	1	0	0	0	0
308	H	0	1	0	0	0
309	R	1	0	0	1	0
310	D	0	0	1	0	0
311	I	0	1	0	0	1
312	A	0	0	0	0	1
313	N	0	1	1	1	0
314	J	0	1	0	1	0
315	G	0	0	1	1	1
316	A	0	0	0	0	1
317	L	0	1	1	0	0
318	M	0	1	1	0	1
319	D	0	0	1	0	0
320	E	0	0	1	0	1
321	K	0	1	0	1	1
322	N	0	1	1	1	0
323	N	0	1	1	1	0
324	K	0	1	0	1	1
325	W	1	0	1	1	1
326	R	1	0	0	1	0
327	D	0	0	1	0	0
328	I	0	1	0	0	1
329	A	0	0	0	0	1
330	L	0	1	1	0	0
331	M	0	1	1	0	1
332	D	0	0	1	0	0
333	I	0	1	0	0	1
334	A	0	0	0	0	1
335	Q	1	0	0	0	1
336	F	0	0	1	1	0
337	R	1	0	0	1	0
338	W	1	0	1	1	1
339	K	0	1	0	1	1
340	N	0	1	1	1	0
341	N	0	1	1	1	0
342	K	0	1	0	1	1
343	V	1	0	1	1	0
344	X	0	0	0	0	0
345	L	0	1	1	0	0
346	I	0	1	0	0	1
347	Q	1	0	0	0	1
348	G	0	0	1	1	1
349	L	0	1	1	0	0
350	A	0	0	0	0	1
351	F	0	0	1	1	0
352	N	0	1	1	1	0
353	N	0	1	1	1	0
354	H	0	1	0	0	0
355	D	0	0	1	0	0
356	M	0	1	1	0	1
357	B	0	0	0	1	0
358	H	0	1	0	0	0
359	D	0	0	1	0	0
360	U	1	0	1	0	1
361	L	0	1	1	0	0
362	A	0	0	0	0	1
363	N	0	1	1	1	0
364	K	0	1	0	1	1
365	S	1	0	0	1	1
366	F	0	0	1	1	0
367	N	0	1	1	1	0
368	C	0	0	0	1	1
369	G	0	0	1	1	1
370	M	0	1	1	0	1
371	B	0	0	0	1	0
372	H	0	1	0	0	0
373	K	0	1	0	1	1
374	R	1	0	0	1	0
375	V	1	0	1	1	0
376	V	1	0	1	1	0
377	P	1	0	0	0	0
378	H	0	1	0	0	0
379	R	1	0	0	1	0
380	D	0	0	1	0	0
381	I	0	1	0	0	1
382	A	0	0	0	0	1
383	N	0	1	1	1	0
384	J	0	1	0	1	0
385	G	0	0	1	1	1
386	A	0	0	0	0	1
387	L	0	1	1	0	0
388	M	0	1	1	0	1
389	D	0	0	1	0	0
390	F	0	0	1	1	0
391	X	0	0	0	0	0
392	M	0	1	1	0	1
393	B	0	0	0	1	0
394	N	0	1	1	1	0
395	V	1	0	1	1	0
396	V	1	0	1	1	0
397	O	0	1	1	1	1
398	W	1	0	1	1	1
399	R	1	0	0	1	0
400	D	0	0	1	0	0
401	K	0	1	0	1	1
402	K	0	1	0	1	1
403	C	0	0	0	1	1
404	R	1	0	0	1	0
405	D	0	0	1	0	0
406	J	0	1	0	1	0
407	Z	1	1	0	0	0
408	Q	1	0	0	0	1
409	O	0	1	1	1	1
410	U	1	0	1	0	1
411	I	0	1	0	0	1
412	L	0	1	1	0	0
413	M	0	1	1	0	1
414	D	0	0	1	0	0
415	X	0	0	0	0	0
416	L	0	1	1	0	0
417	I	0	1	0	0	1
418	X	0	0	0	0	0
419	L	0	1	1	0	0
420	I	0	1	0	0	1
421	X	0	0	0	0	0
422	N	0	1	1	1	0
423	K	0	1	0	1	1
424	S	1	0	0	1	1
425	F	0	0	1	1	0
426	N	0	1	1	1	0
427	C	0	0	0	1	1
428	G	0	0	1	1	1
429	L	0	1	1	0	0
430	N	0	1	1	1	0
431	N	0	1	1	1	0
432	M	0	1	1	0	1
433	B	0	0	0	1	0
434	H	0	1	0	0	0
435	K	0	1	0	1	1
436	S	1	0	0	1	1
437	F	0	0	1	1	0
438	M	0	1	1	0	1
439	B	0	0	0	1	0
440	H	0	1	0	0	0
441	D	0	0	1	0	0
442	U	1	0	1	0	1
443	L	0	1	1	0	0
444	A	0	0	0	0	1
445	L	0	1	1	0	0
446	L	0	1	1	0	0
447	I	0	1	0	0	1
448	Q	1	0	0	0	1
449	G	0	0	1	1	1
450	L	0	1	1	0	0
451	A	0	0	0	0	1
452	F	0	0	1	1	0
453	M	0	1	1	0	1
454	D	0	0	1	0	0
455	E	0	0	1	0	1
456	K	0	1	0	1	1
457	N	0	1	1	1	0
458	M	0	1	1	0	1
459	A	0	0	0	0	1
460	L	0	1	1	0	0
461	M	0	1	1	0	1
462	D	0	0	1	0	0
463	L	0	1	1	0	0
464	U	1	0	1	0	1
465	A	0	0	0	0	1
466	F	0	0	1	1	0
467	C	0	0	0	1	1
468	N	0	1	1	1	0
469	H	0	1	0	0	0
470	O	0	1	1	1	1
471	V	1	0	1	1	0
472	V	1	0	1	1	0
473	R	1	0	0	1	0
474	U	1	0	1	0	1
475	O	0	1	1	1	1
476	B	0	0	0	1	0
477	J	0	1	0	1	0
478	U	1	0	1	0	1
479	Q	1	0	0	0	1
480	F	0	0	1	1	0
481	R	1	0	0	1	0
482	W	1	0	1	1	1
483	K	0	1	0	1	1
484	N	0	1	1	1	0
485	N	0	1	1	1	0
486	K	0	1	0	1	1
487	Z	1	1	0	0	0
488	Q	1	0	0	0	1
489	Z	1	1	0	0	0
490	Z	1	1	0	0	0
491	V	1	0	1	1	0
492	V	1	0	1	1	0
493	P	1	0	0	0	0
494	H	0	1	0	0	0
495	R	1	0	0	1	0
496	D	0	0	1	0	0
497	I	0	1	0	0	1
498	A	0	0	0	0	1
499	L	0	1	1	0	0
500	M	0	1	1	0	1
501	D	0	0	1	0	0
502	C	0	0	0	1	1
503	L	0	1	1	0	0
504	J	0	1	0	1	0
505	F	0	0	1	1	0
506	C	0	0	0	1	1
507	N	0	1	1	1	0
508	M	0	1	1	0	1
509	B	0	0	0	1	0
510	H	0	1	0	0	0
511	K	0	1	0	1	1
512	V	1	0	1	1	0
513	X	0	0	0	0	0
514	L	0	1	1	0	0
515	I	0	1	0	0	1
516	Q	1	0	0	0	1
517	G	0	0	1	1	1
