Point	Label	1	2	3	4	5
1	L	0	1	1	0	0
2	I	0	1	0	0	1
3	Q	1	0	0	0	1
4	G	0	0	1	1	1
5	L	0	1	1	0	0
6	A	0	0	0	0	1
7	F	0	0	1	1	0
8	N	0	1	1	1	0
9	N	0	1	1	1	0
10	H	0	1	0	0	0
11	D	0	0	1	0	0
12	L	0	1	1	0	0
13	E	0	0	1	0	1
14	R	1	0	0	1	0
15	W	1	0	1	1	1
16	C	0	0	0	1	1
17	G	0	0	1	1	1
18	A	0	0	0	0	1
19	L	0	1	1	0	0
20	E	0	0	1	0	1
21	T	1	0	1	0	0
22	I	0	1	0	0	1
23	N	0	1	1	1	0
24	K	0	1	0	1	1
25	S	1	0	0	1	1
26	E	0	0	1	0	1
27	R	1	0	0	1	0
28	U	1	0	1	0	1
29	L	0	1	1	0	0
30	A	0	0	0	0	1
31	L	0	1	1	0	0
32	N	0	1	1	1	0
33	N	0	1	1	1	0
34	J	0	1	0	1	0
35	G	0	0	1	1	1
36	A	0	0	0	0	1
37	L	0	1	1	0	0
38	M	0	1	1	0	1
39	D	0	0	1	0	0
40	E	0	0	1	0	1
41	K	0	1	0	1	1
42	M	0	1	1	0	1
43	D	0	0	1	0	0
44	L	0	1	1	0	0
45	U	1	0	1	0	1
46	A	0	0	0	0	1
47	F	0	0	1	1	0
48	C	0	0	0	1	1
49	M	0	1	1	0	1
50	D	0	0	1	0	0
51	E	0	0	1	0	1
52	B	0	0	0	1	0
53	Z	1	1	0	0	0
54	V	1	0	1	1	0
55	V	1	0	1	1	0
56	T	1	0	1	0	0
57	E	0	0	1	0	1
58	O	0	1	1	1	1
59	B	0	0	0	1	0
60	K	0	1	0	1	1
61	C	0	0	0	1	1
62	L	0	1	1	0	0
63	I	0	1	0	0	1
64	U	1	0	1	0	1
65	O	0	1	1	1	1
66	B	0	0	0	1	0
67	J	0	1	0	1	0
68	Z	1	1	0	0	0
69	S	1	0	0	1	1
70	R	1	0	0	1	0
71	W	1	0	1	1	1
72	K	0	1	0	1	1
73	N	0	1	1	1	0
74	N	0	1	1	1	0
75	K	0	1	0	1	1
76	W	1	0	1	1	1
77	S	1	0	0	1	1
78	G	0	0	1	1	1
79	Q	1	0	0	0	1
80	Z	1	1	0	0	0
81	V	1	0	1	1	0
82	O	0	1	1	1	1
83	V	1	0	1	1	0
84	I	0	1	0	0	1
85	A	0	0	0	0	1
86	N	0	1	1	1	0
87	K	0	1	0	1	1
88	W	1	0	1	1	1
89	R	1	0	0	1	0
90	D	0	0	1	0	0
91	J	0	1	0	1	0
92	Z	1	1	0	0	0
93	Q	1	0	0	0	1
94	O	0	1	1	1	1
95	U	1	0	1	0	1
96	J	0	1	0	1	0
97	G	0	0	1	1	1
98	A	0	0	0	0	1
99	L	0	1	1	0	0
100	M	0	1	1	0	1
101	D	0	0	1	0	0
102	E	0	0	1	0	1
103	X	0	0	0	0	0
104	X	0	0	0	0	0
105	L	0	1	1	0	0
106	I	0	1	0	0	1
107	Q	1	0	0	0	1
108	G	0	0	1	1	1
109	L	0	1	1	0	0
110	A	0	0	0	0	1
111	F	0	0	1	1	0
112	N	0	1	1	1	0
113	N	0	1	1	1	0
114	H	0	1	0	0	0
115	D	0	0	1	0	0
116	L	0	1	1	0	0
117	N	0	1	1	1	0
118	D	0	0	1	0	0
119	L	0	1	1	0	0
120	E	0	0	1	0	1
121	R	1	0	0	1	0
122	W	1	0	1	1	1
123	C	0	0	0	1	1
124	G	0	0	1	1	1
125	A	0	0	0	0	1
126	L	0	1	1	0	0
127	E	0	0	1	0	1
128	T	1	0	1	0	0
129	I	0	1	0	0	1
130	L	0	1	1	0	0
131	L	0	1	1	0	0
132	I	0	1	0	0	1
133	O	0	1	1	1	1
134	V	1	0	1	1	0
135	V	1	0	1	1	0
136	T	1	0	1	0	0
137	R	1	0	0	1	0
138	U	1	0	1	0	1
139	Q	1	0	0	0	1
140	F	0	0	1	1	0
141	R	1	0	0	1	0
142	W	1	0	1	1	1
143	K	0	1	0	1	1
144	N	0	1	1	1	0
145	N	0	1	1	1	0
146	K	0	1	0	1	1
147	W	1	0	1	1	1
148	R	1	0	0	1	0
149	D	0	0	1	0	0
150	I	0	1	0	0	1
151	A	0	0	0	0	1
152	N	0	1	1	1	0
153	K	0	1	0	1	1
154	Z	1	1	0	0	0
155	Q	1	0	0	0	1
156	Z	1	1	0	0	0
157	U	1	0	1	0	1
158	L	0	1	1	0	0
159	A	0	0	0	0	1
160	N	0	1	1	1	0
161	J	0	1	0	1	0
162	G	0	0	1	1	1
163	A	0	0	0	0	1
164	M	0	1	1	0	1
165	A	0	0	0	0	1
166	L	0	1	1	0	0
167	L	0	1	1	0	0
168	M	0	1	1	0	1
169	D	0	0	1	0	0
170	E	0	0	1	0	1
171	I	0	1	0	0	1
172	O	0	1	1	1	1
173	W	1	0	1	1	1
174	N	0	1	1	1	0
175	C	0	0	0	1	1
176	L	0	1	1	0	0
177	X	0	0	0	0	0
178	L	0	1	1	0	0
179	I	0	1	0	0	1
180	Q	1	0	0	0	1
181	G	0	0	1	1	1
182	L	0	1	1	0	0
183	B	0	0	0	1	0
184	N	0	1	1	1	0
185	G	0	0	1	1	1
186	L	0	1	1	0	0
187	B	0	0	0	1	0
188	N	0	1	1	1	0
189	H	0	1	0	0	0
190	O	0	1	1	1	1
191	U	1	0	1	0	1
192	A	0	0	0	0	1
193	F	0	0	1	1	0
194	C	0	0	0	1	1
195	N	0	1	1	1	0
196	H	0	1	0	0	0
197	O	0	1	1	1	1
198	V	1	0	1	1	0
199	V	1	0	1	1	0
200	R	1	0	0	1	0
201	V	1	0	1	1	0
202	K	0	1	0	1	1
203	C	0	0	0	1	1
204	L	0	1	1	0	0
205	J	0	1	0	1	0
206	F	0	0	1	1	0
207	C	0	0	0	1	1
208	N	0	1	1	1	0
209	N	0	1	1	1	0
210	D	0	0	1	0	0
211	L	0	1	1	0	0
212	M	0	1	1	0	1
213	C	0	0	0	1	1
214	N	0	1	1	1	0
215	M	0	1	1	0	1
216	B	0	0	0	1	0
217	H	0	1	0	0	0
218	K	0	1	0	1	1
219	W	1	0	1	1	1
220	S	1	0	0	1	1
221	G	0	0	1	1	1
222	O	0	1	1	1	1
223	V	1	0	1	1	0
224	I	0	1	0	0	1
225	A	0	0	0	0	1
226	L	0	1	1	0	0
227	L	0	1	1	0	0
228	I	0	1	0	0	1
229	U	1	0	1	0	1
230	O	0	1	1	1	1
231	B	0	0	0	1	0
232	X	0	0	0	0	0
233	X	0	0	0	0	0
234	L	0	1	1	0	0
235	I	0	1	0	0	1
236	Q	1	0	0	0	1
237	G	0	0	1	1	1
238	M	0	1	1	0	1
239	D	0	0	1	0	0
240	E	0	0	1	0	1
241	B	0	0	0	1	0
242	W	1	0	1	1	1
243	N	0	1	1	1	0
244	C	0	0	0	1	1
245	N	0	1	1	1	0
246	N	0	1	1	1	0
247	K	0	1	0	1	1
248	R	1	0	0	1	0
249	V	1	0	1	1	0
250	V	1	0	1	1	0
251	O	0	1	1	1	1
252	V	1	0	1	1	0
253	K	0	1	0	1	1
254	C	0	0	0	1	1
255	S	1	0	0	1	1
256	G	0	0	1	1	1
257	O	0	1	1	1	1
258	U	1	0	1	0	1
259	I	0	1	0	0	1
260	L	0	1	1	0	0
261	L	0	1	1	0	0
262	I	0	1	0	0	1
263	U	1	0	1	0	1
264	Q	1	0	0	0	1
265	F	0	0	1	1	0
266	S	1	0	0	1	1
267	Z	1	1	0	0	0
268	Z	1	1	0	0	0
269	Q	1	0	0	0	1
270	G	0	0	1	1	1
271	L	0	1	1	0	0
272	A	0	0	0	0	1
273	F	0	0	1	1	0
274	N	0	1	1	1	0
275	N	0	1	1	1	0
276	H	0	1	0	0	0
277	D	0	0	1	0	0
278	L	0	1	1	0	0
279	F	0	0	1	1	0
280	M	0	1	1	0	1
281	B	0	0	0	1	0
282	H	0	1	0	0	0
283	D	0	0	1	0	0
284	U	1	0	1	0	1
285	L	0	1	1	0	0
286	A	0	0	0	0	1
287	N	0	1	1	1	0
288	K	0	1	0	1	1
289	S	1	0	0	1	1
290	E	0	0	1	0	1
291	T	1	0	1	0	0
292	J	0	1	0	1	0
293	G	0	0	1	1	1
294	A	0	0	0	0	1
295	L	0	1	1	0	0
296	M	0	1	1	0	1
297	D	0	0	1	0	0
298	E	0	0	1	0	1
299	I	0	1	0	0	1
300	P	1	0	0	0	0
301	K	0	1	0	1	1
302	M	0	1	1	0	1
303	D	0	0	1	0	0
304	L	0	1	1	0	0
305	U	1	0	1	0	1
306	B	0	0	0	1	0
307	V	1	0	1	1	0
308	V	1	0	1	1	0
309	R	1	0	0	1	0
310	U	1	0	1	0	1
311	O	0	1	1	1	1
312	B	0	0	0	1	0
313	J	0	1	0	1	0
314	Z	1	1	0	0	0
315	S	1	0	0	1	1
316	R	1	0	0	1	0
317	V	1	0	1	1	0
318	K	0	1	0	1	1
319	C	0	0	0	1	1
320	L	0	1	1	0	0
321	J	0	1	0	1	0
322	F	0	0	1	1	0
323	C	0	0	0	1	1
324	N	0	1	1	1	0
325	M	0	1	1	0	1
326	B	0	0	0	1	0
327	H	0	1	0	0	0
328	I	0	1	0	0	1
329	M	0	1	1	0	1
330	B	0	0	0	1	0
331	X	0	0	0	0	0
332	X	0	0	0	0	0
333	L	0	1	1	0	0
334	I	0	1	0	0	1
335	Q	1	0	0	0	1
336	G	0	0	1	1	1
337	L	0	1	1	0	0
338	B	0	0	0	1	0
339	N	0	1	1	1	0
340	H	0	1	0	0	0
341	O	0	1	1	1	1
342	V	1	0	1	1	0
343	W	1	0	1	1	1
344	R	1	0	0	1	0
345	B	0	0	0	1	0
346	M	0	1	1	0	1
347	D	0	0	1	0	0
348	E	0	0	1	0	1
349	K	0	1	0	1	1
350	M	0	1	1	0	1
351	D	0	0	1	0	0
352	K	0	1	0	1	1
353	K	0	1	0	1	1
354	C	0	0	0	1	1
355	L	0	1	1	0	0
356	I	0	1	0	0	1
357	U	1	0	1	0	1
358	Q	1	0	0	0	1
359	F	0	0	1	1	0
360	R	1	0	0	1	0
361	V	1	0	1	1	0
362	I	0	1	0	0	1
363	A	0	0	0	0	1
364	Q	1	0	0	0	1
365	F	0	0	1	1	0
366	S	1	0	0	1	1
367	Z	1	1	0	0	0
368	U	1	0	1	0	1
369	B	0	0	0	1	0
370	W	1	0	1	1	1
371	N	0	1	1	1	0
372	C	0	0	0	1	1
373	L	0	1	1	0	0
374	I	0	1	0	0	1
375	K	0	1	0	1	1
376	N	0	1	1	1	0
377	N	0	1	1	1	0
378	K	0	1	0	1	1
379	R	1	0	0	1	0
380	V	1	0	1	1	0
381	V	1	0	1	1	0
382	O	0	1	1	1	1
383	V	1	0	1	1	0
384	K	0	1	0	1	1
385	C	0	0	0	1	1
386	S	1	0	0	1	1
387	G	0	0	1	1	1
388	O	0	1	1	1	1
389	V	1	0	1	1	0
390	K	0	1	0	1	1
391	D	0	0	1	0	0
392	I	0	1	0	0	1
393	A	0	0	0	0	1
394	X	0	0	0	0	0
395	L	0	1	1	0	0
396	I	0	1	0	0	1
397	Q	1	0	0	0	1
398	G	0	0	1	1	1
399	L	0	1	1	0	0
400	B	0	0	0	1	0
401	N	0	1	1	1	0
402	H	0	1	0	0	0
403	O	0	1	1	1	1
404	X	0	0	0	0	0
405	L	0	1	1	0	0
406	I	0	1	0	0	1
407	Q	1	0	0	0	1
408	H	0	1	0	0	0
409	O	0	1	1	1	1
410	V	1	0	1	1	0
411	U	1	0	1	0	1
412	V	1	0	1	1	0
413	O	0	1	1	1	1
414	W	1	0	1	1	1
415	S	1	0	0	1	1
416	G	0	0	1	1	1
417	O	0	1	1	1	1
418	U	1	0	1	0	1
419	I	0	1	0	0	1
420	L	0	1	1	0	0
421	L	0	1	1	0	0
422	I	0	1	0	0	1
423	U	1	0	1	0	1
424	Q	1	0	0	0	1
425	F	0	0	1	1	0
426	X	0	0	0	0	0
427	L	0	1	1	0	0
428	I	0	1	0	0	1
429	O	0	1	1	1	1
430	V	1	0	1	1	0
431	U	1	0	1	0	1
432	A	0	0	0	0	1
433	F	0	0	1	1	0
434	C	0	0	0	1	1
435	L	0	1	1	0	0
436	A	0	0	0	0	1
437	F	0	0	1	1	0
438	N	0	1	1	1	0
439	N	0	1	1	1	0
440	H	0	1	0	0	0
441	D	0	0	1	0	0
442	L	0	1	1	0	0
443	E	0	0	1	0	1
444	R	1	0	0	1	0
445	V	1	0	1	1	0
446	V	1	0	1	1	0
447	O	0	1	1	1	1
448	U	1	0	1	0	1
449	J	0	1	0	1	0
450	G	0	0	1	1	1
451	A	0	0	0	0	1
452	N	0	1	1	1	0
453	C	0	0	0	1	1
454	Q	1	0	0	0	1
455	S	1	0	0	1	1
456	N	0	1	1	1	0
457	W	1	0	1	1	1
458	X	0	0	0	0	0
459	N	0	1	1	1	0
460	K	0	1	0	1	1
461	R	1	0	0	1	0
462	W	1	0	1	1	1
463	C	0	0	0	1	1
464	G	0	0	1	1	1
465	A	0	0	0	0	1
466	L	0	1	1	0	0
467	E	0	0	1	0	1
468	T	1	0	1	0	0
469	J	0	1	0	1	0
470	G	0	0	1	1	1
471	A	0	0	0	0	1
472	L	0	1	1	0	0
473	M	0	1	1	0	1
474	D	0	0	1	0	0
475	E	0	0	1	0	1
476	K	0	1	0	1	1
477	N	0	1	1	1	0
478	M	0	1	1	0	1
479	B	0	0	0	1	0
480	X	0	0	0	0	0
481	X	0	0	0	0	0
482	L	0	1	1	0	0
483	I	0	1	0	0	1
484	Q	1	0	0	0	1
485	G	0	0	1	1	1
486	L	0	1	1	0	0
487	A	0	0	0	0	1
488	F	0	0	1	1	0
489	N	0	1	1	1	0
490	N	0	1	1	1	0
491	H	0	1	0	0	0
492	X	0	0	0	0	0
493	N	0	1	1	1	0
494	K	0	1	0	1	1
495	R	1	0	0	1	0
496	W	1	0	1	1	1
497	C	0	0	0	1	1
498	G	0	0	1	1	1
499	A	0	0	0	0	1
500	N	0	1	1	1	0
501	C	0	0	0	1	1
502	D	0	0	1	0	0
503	L	0	1	1	0	0
504	E	0	0	1	0	1
505	R	1	0	0	1	0
506	V	1	0	1	1	0
507	V	1	0	1	1	0
508	O	0	1	1	1	1
509	V	1	0	1	1	0
510	K	0	1	0	1	1
511	I	0	1	0	0	1
512	A	0	0	0	0	1
513	N	0	1	1	1	0
514	K	0	1	0	1	1
515	W	1	0	1	1	1
516	S	1	0	0	1	1
517	G	0	0	1	1	1
518	O	0	1	1	1	1
