Point	Label	1	2	3	4	5		
1	M	0	1	1	0	1		
2	D	0	0	1	0	0		
3	L	0	1	1	0	0		
4	U	1	0	1	0	1		
5	A	0	0	0	0	1		
6	F	0	0	1	1	0		
7	C	0	0	0	1	1		
8	L	0	1	1	0	0		
9	A	0	0	0	0	1		
10	F	0	0	1	1	0		
11	N	0	1	1	1	0		
12	L	0	1	1	0	0		
13	L	0	1	1	0	0		
14	N	0	1	1	1	0		
15	N	0	1	1	1	0		
16	H	0	1	0	0	0		
17	C	0	0	0	1	1		
18	G	0	0	1	1	1		
19	M	0	1	1	0	1		
20	B	0	0	0	1	0		
21	H	0	1	0	0	0		
22	K	0	1	0	1	1		
23	S	1	0	0	1	1		
24	F	0	0	1	1	0		
25	N	0	1	1	1	0		
26	D	0	0	1	0	0		
27	L	0	1	1	0	0		
28	F	0	0	1	1	0		
29	N	0	1	1	1	0		
30	D	0	0	1	0	0		
31	M	0	1	1	0	1		
32	B	0	0	0	1	0		
33	H	0	1	0	0	0		
34	D	0	0	1	0	0		
35	U	1	0	1	0	1		
36	L	0	1	1	0	0		
37	B	0	0	0	1	0		
38	N	0	1	1	1	0		
39	U	1	0	1	0	1		
40	L	0	1	1	0	0		
41	N	0	1	1	1	0		
42	Z	1	1	0	0	0		
43	S	1	0	0	1	1		
44	F	0	0	1	1	0		
45	N	0	1	1	1	0		
46	C	0	0	0	1	1		
47	G	0	0	1	1	1		
48	M	0	1	1	0	1		
49	B	0	0	0	1	0		
50	G	0	0	1	1	1		
51	B	0	0	0	1	0		
52	H	0	1	0	0	0		
53	I	0	1	0	0	1		
54	L	0	1	1	0	0		
55	L	0	1	1	0	0		
56	I	0	1	0	0	1		
57	Q	1	0	0	0	1		
58	G	0	0	1	1	1		
59	L	0	1	1	0	0		
60	A	0	0	0	0	1		
61	E	0	0	1	0	1		
62	X	0	0	0	0	0		
63	N	0	1	1	1	0		
64	K	0	1	0	1	1		
65	R	1	0	0	1	0		
66	V	1	0	1	1	0		
67	V	1	0	1	1	0		
68	O	0	1	1	1	1		
69	V	1	0	1	1	0		
70	I	0	1	0	0	1		
71	A	0	0	0	0	1		
72	X	0	0	0	0	0		
73	L	0	1	1	0	0		
74	I	0	1	0	0	1		
75	Q	1	0	0	0	1		
76	G	0	0	1	1	1		
77	L	0	1	1	0	0		
78	A	0	0	0	0	1		
79	F	0	0	1	1	0		
80	E	0	0	1	0	1		
81	B	0	0	0	1	0		
82	N	0	1	1	1	0		
83	X	0	0	0	0	0		
84	X	0	0	0	0	0		
85	N	0	1	1	1	0		
86	K	0	1	0	1	1		
87	R	1	0	0	1	0		
88	U	1	0	1	0	1		
89	L	0	1	1	0	0		
90	A	0	0	0	0	1		
91	N	0	1	1	1	0		
92	K	0	1	0	1	1		
93	R	1	0	0	1	0		
94	V	1	0	1	1	0		
95	V	1	0	1	1	0		
96	O	0	1	1	1	1		
97	O	0	1	1	1	1		
98	X	0	0	0	0	0		
99	X	0	0	0	0	0		
100	L	0	1	1	0	0		
101	I	0	1	0	0	1		
102	O	0	1	1	1	1		
103	V	1	0	1	1	0		
104	V	1	0	1	1	0		
105	Z	1	1	0	0	0		
106	V	1	0	1	1	0		
107	R	1	0	0	1	0		
108	V	1	0	1	1	0		
109	X	0	0	0	0	0		
110	L	0	1	1	0	0		
111	I	0	1	0	0	1		
112	P	1	0	0	0	0		
113	K	0	1	0	1	1		
114	N	0	1	1	1	0		
115	N	0	1	1	1	0		
116	K	0	1	0	1	1		
117	S	1	0	0	1	1		
118	F	0	0	1	1	0		
119	N	0	1	1	1	0		
120	D	0	0	1	0	0		
121	M	0	1	1	0	1		
122	B	0	0	0	1	0		
123	X	0	0	0	0	0		
124	X	0	0	0	0	0		
125	N	0	1	1	1	0		
126	K	0	1	0	1	1		
127	R	1	0	0	1	0		
128	V	1	0	1	1	0		
129	V	1	0	1	1	0		
130	O	0	1	1	1	1		
131	Z	1	1	0	0	0		
132	Q	1	0	0	0	1		
133	Z	1	1	0	0	0		
134	Z	1	1	0	0	0		
135	X	0	0	0	0	0		
136	X	0	0	0	0	0		
