Point	Label	1	2	3	4	5	
1	L	0	1	1	0	0	
2	I	0	1	0	0	1	
3	X	0	0	0	0	0	
4	L	0	1	1	0	0	
5	J	0	1	0	1	0	
6	E	0	0	1	0	1	
7	I	0	1	0	0	1	
8	Q	1	0	0	0	1	
9	G	0	0	1	1	1	
10	L	0	1	1	0	0	
11	A	0	0	0	0	1	
12	F	0	0	1	1	0	
13	N	0	1	1	1	0	
14	N	0	1	1	1	0	
15	H	0	1	0	0	0	
16	D	0	0	1	0	0	
17	L	0	1	1	0	0	
18	E	0	0	1	0	1	
19	R	1	0	0	1	0	
20	V	1	0	1	1	0	
21	V	1	0	1	1	0	
22	O	0	1	1	1	1	
23	V	1	0	1	1	0	
24	X	0	0	0	0	0	
25	L	0	1	1	0	0	
26	I	0	1	0	0	1	
27	Q	1	0	0	0	1	
28	G	0	0	1	1	1	
29	L	0	1	1	0	0	
30	A	0	0	0	0	1	
31	F	0	0	1	1	0	
32	N	0	1	1	1	0	
33	N	0	1	1	1	0	
34	H	0	1	0	0	0	
35	D	0	0	1	0	0	
36	L	0	1	1	0	0	
37	E	0	0	1	0	1	
38	R	1	0	0	1	0	
39	U	1	0	1	0	1	
40	L	0	1	1	0	0	
41	A	0	0	0	0	1	
42	N	0	1	1	1	0	
43	K	0	1	0	1	1	
44	S	1	0	0	1	1	
45	F	0	0	1	1	0	
46	N	0	1	1	1	0	
47	C	0	0	0	1	1	
48	G	0	0	1	1	1	
49	M	0	1	1	0	1	
50	N	0	1	1	1	0	
51	X	0	0	0	0	0	
52	L	0	1	1	0	0	
53	I	0	1	0	0	1	
54	Q	1	0	0	0	1	
55	G	0	0	1	1	1	
56	L	0	1	1	0	0	
57	A	0	0	0	0	1	
58	F	0	0	1	1	0	
59	N	0	1	1	1	0	
60	N	0	1	1	1	0	
61	M	0	1	1	0	1	
62	B	0	0	0	1	0	
63	H	0	1	0	0	0	
64	K	0	1	0	1	1	
65	R	1	0	0	1	0	
66	W	1	0	1	1	1	
67	D	0	0	1	0	0	
68	U	1	0	1	0	1	
69	L	0	1	1	0	0	
70	A	0	0	0	0	1	
71	L	0	1	1	0	0	
72	L	0	1	1	0	0	
73	I	0	1	0	0	1	
74	O	0	1	1	1	1	
75	V	1	0	1	1	0	
76	V	1	0	1	1	0	
77	R	1	0	0	1	0	
78	U	1	0	1	0	1	
79	O	0	1	1	1	1	
80	B	0	0	0	1	0	
81	K	0	1	0	1	1	
82	C	0	0	0	1	1	
83	N	0	1	1	1	0	
84	N	0	1	1	1	0	
85	K	0	1	0	1	1	
86	V	1	0	1	1	0	
87	K	0	1	0	1	1	
88	D	0	0	1	0	0	
89	I	0	1	0	0	1	
90	A	0	0	0	0	1	
91	N	0	1	1	1	0	
92	K	0	1	0	1	1	
93	Z	1	1	0	0	0	
94	Q	1	0	0	0	1	
95	Z	1	1	0	0	0	
96	Z	1	1	0	0	0	
97	S	1	0	0	1	1	
98	F	0	0	1	1	0	
99	N	0	1	1	1	0	
100	C	0	0	0	1	1	
101	G	0	0	1	1	1	
102	L	0	1	1	0	0	
103	M	0	1	1	0	1	
104	D	0	0	1	0	0	
105	E	0	0	1	0	1	
106	K	0	1	0	1	1	
107	N	0	1	1	1	0	
108	N	0	1	1	1	0	
109	X	0	0	0	0	0	
110	N	0	1	1	1	0	
111	K	0	1	0	1	1	
112	S	1	0	0	1	1	
113	F	0	0	1	1	0	
114	M	0	1	1	0	1	
115	B	0	0	0	1	0	
116	H	0	1	0	0	0	
117	D	0	0	1	0	0	
118	U	1	0	1	0	1	
119	M	0	1	1	0	1	
120	R	1	0	0	1	0	
121	P	1	0	0	0	0	
122	W	1	0	1	1	1	
123	V	1	0	1	1	0	
124	R	1	0	0	1	0	
125	U	1	0	1	0	1	
126	Q	1	0	0	0	1	
128	F	0	0	1	1	0	
129	S	1	0	0	1	1	
130	W	1	0	1	1	1	
131	R	1	0	0	1	0	
132	B	0	0	0	1	0	
133	N	0	1	1	1	0	
134	N	0	1	1	1	0	
135	C	0	0	0	1	1	
136	Q	1	0	0	0	1	
137	X	0	0	0	0	0	
138	L	0	1	1	0	0	
139	I	0	1	0	0	1	
140	Q	1	0	0	0	1	
141	G	0	0	1	1	1	
142	M	0	1	1	0	1	
143	D	0	0	1	0	0	
144	E	0	0	1	0	1	
145	B	0	0	0	1	0	
146	W	1	0	1	1	1	
147	N	0	1	1	1	0	
148	C	0	0	0	1	1	
149	N	0	1	1	1	0	
150	N	0	1	1	1	0	
151	K	0	1	0	1	1	
152	R	1	0	0	1	0	
153	V	1	0	1	1	0	
154	V	1	0	1	1	0	
155	P	1	0	0	0	0	
156	G	0	0	1	1	1	
157	Q	1	0	0	0	1	
158	U	1	0	1	0	1	
159	O	0	1	1	1	1	
160	D	0	0	1	0	0	
161	L	0	1	1	0	0	
162	L	0	1	1	0	0	
163	A	0	0	0	0	1	
164	S	1	0	0	1	1	
165	Q	1	0	0	0	1	
166	L	0	1	1	0	0	
167	U	1	0	1	0	1	
168	B	0	0	0	1	0	
169	W	1	0	1	1	1	
170	M	0	1	1	0	1	
171	O	0	1	1	1	1	
172	R	1	0	0	1	0	
173	B	0	0	0	1	0	
174	N	0	1	1	1	0	
175	N	0	1	1	1	0	
176	C	0	0	0	1	1	
177	Q	1	0	0	0	1	
178	S	1	0	0	1	1	
179	L	0	1	1	0	0	
180	A	0	0	0	0	1	
182	X	0	0	0	0	0	
183	L	0	1	1	0	0	
184	I	0	1	0	0	1	
185	Q	1	0	0	0	1	
186	G	0	0	1	1	1	
187	L	0	1	1	0	0	
188	A	0	0	0	0	1	
189	F	0	0	1	1	0	
190	N	0	1	1	1	0	
191	N	0	1	1	1	0	
192	H	0	1	0	0	0	
193	D	0	0	1	0	0	
194	L	0	1	1	0	0	
195	E	0	0	1	0	1	
196	R	1	0	0	1	0	
197	V	1	0	1	1	0	
198	V	1	0	1	1	0	
199	O	0	1	1	1	1	
200	V	1	0	1	1	0	
201	K	0	1	0	1	1	
202	X	0	0	0	0	0	
203	N	0	1	1	1	0	
204	K	0	1	0	1	1	
205	S	1	0	0	1	1	
206	F	0	0	1	1	0	
207	N	0	1	1	1	0	
208	C	0	0	0	1	1	
209	H	0	1	0	0	0	
210	D	0	0	1	0	0	
211	L	0	1	1	0	0	
212	E	0	0	1	0	1	
213	R	1	0	0	1	0	
214	V	1	0	1	1	0	
215	V	1	0	1	1	0	
216	O	0	1	1	1	1	
217	W	1	0	1	1	1	
218	S	1	0	0	1	1	
219	H	0	1	0	0	0	
220	R	1	0	0	1	0	
221	D	0	0	1	0	0	
222	I	0	1	0	0	1	
223	A	0	0	0	0	1	
224	N	0	1	1	1	0	
225	J	0	1	0	1	0	
226	G	0	0	1	1	1	
227	A	0	0	0	0	1	
228	L	0	1	1	0	0	
229	L	0	1	1	0	0	
230	A	0	0	0	0	1	
231	S	1	0	0	1	1	
232	R	1	0	0	1	0	
233	B	0	0	0	1	0	
234	M	0	1	1	0	1	
235	D	0	0	1	0	0	
236	E	0	0	1	0	1	
237	K	0	1	0	1	1	
238	N	0	1	1	1	0	
239	N	0	1	1	1	0	
240	K	0	1	0	1	1	
241	W	1	0	1	1	1	
242	S	1	0	0	1	1	
243	H	0	1	0	0	0	
244	R	1	0	0	1	0	
245	C	0	0	0	1	1	
246	S	1	0	0	1	1	
247	G	0	0	1	1	1	
248	O	0	1	1	1	1	
249	U	1	0	1	0	1	
250	I	0	1	0	0	1	
251	L	0	1	1	0	0	
252	L	0	1	1	0	0	
253	I	0	1	0	0	1	
254	V	1	0	1	1	0	
255	X	0	0	0	0	0	
256	X	0	0	0	0	0	
257	L	0	1	1	0	0	
258	I	0	1	0	0	1	
259	Q	1	0	0	0	1	
260	G	0	0	1	1	1	
261	L	0	1	1	0	0	
262	A	0	0	0	0	1	
263	F	0	0	1	1	0	
264	N	0	1	1	1	0	
265	M	0	1	1	0	1	
266	B	0	0	0	1	0	
267	H	0	1	0	0	0	
268	K	0	1	0	1	1	
269	S	1	0	0	1	1	
270	F	0	0	1	1	0	
271	N	0	1	1	1	0	
272	C	0	0	0	1	1	
273	G	0	0	1	1	1	
274	L	0	1	1	0	0	
275	M	0	1	1	0	1	
276	D	0	0	1	0	0	
277	E	0	0	1	0	1	
278	K	0	1	0	1	1	
279	N	0	1	1	1	0	
280	N	0	1	1	1	0	
281	K	0	1	0	1	1	
282	S	1	0	0	1	1	
283	F	0	0	1	1	0	
284	N	0	1	1	1	0	
285	C	0	0	0	1	1	
286	G	0	0	1	1	1	
287	M	0	1	1	0	1	
288	B	0	0	0	1	0	
289	H	0	1	0	0	0	
290	X	0	0	0	0	0	
291	L	0	1	1	0	0	
292	I	0	1	0	0	1	
293	Q	1	0	0	0	1	
294	G	0	0	1	1	1	
295	M	0	1	1	0	1	
296	D	0	0	1	0	0	
297	E	0	0	1	0	1	
298	B	0	0	0	1	0	
299	U	1	0	1	0	1	
300	B	0	0	0	1	0	
301	W	1	0	1	1	1	
302	N	0	1	1	1	0	
303	X	0	0	0	0	0	
304	N	0	1	1	1	0	
305	K	0	1	0	1	1	
306	S	1	0	0	1	1	
307	F	0	0	1	1	0	
308	M	0	1	1	0	1	
309	B	0	0	0	1	0	
310	H	0	1	0	0	0	
311	D	0	0	1	0	0	
312	U	1	0	1	0	1	
313	L	0	1	1	0	0	
314	A	0	0	0	0	1	
315	L	0	1	1	0	0	
316	L	0	1	1	0	0	
317	I	0	1	0	0	1	
318	O	0	1	1	1	1	
319	V	1	0	1	1	0	
320	V	1	0	1	1	0	
321	R	1	0	0	1	0	
322	W	1	0	1	1	1	
323	K	0	1	0	1	1	
324	N	0	1	1	1	0	
325	N	0	1	1	1	0	
326	K	0	1	0	1	1	
327	W	1	0	1	1	1	
328	R	1	0	0	1	0	
329	D	0	0	1	0	0	
330	I	0	1	0	0	1	
331	A	0	0	0	0	1	
332	L	0	1	1	0	0	
333	L	0	1	1	0	0	
334	I	0	1	0	0	1	
335	V	1	0	1	1	0	
336	K	0	1	0	1	1	
337	C	0	0	0	1	1	
338	L	0	1	1	0	0	
339	I	0	1	0	0	1	
340	U	1	0	1	0	1	
341	Q	1	0	0	0	1	
342	F	0	0	1	1	0	
343	S	1	0	0	1	1	
344	W	1	0	1	1	1	
345	R	1	0	0	1	0	
346	B	0	0	0	1	0	
347	N	0	1	1	1	0	
348	N	0	1	1	1	0	
349	C	0	0	0	1	1	
350	Q	1	0	0	0	1	
351	R	1	0	0	1	0	
352	R	1	0	0	1	0	
353	O	0	1	1	1	1	
354	D	0	0	1	0	0	
355	L	0	1	1	0	0	
356	L	0	1	1	0	0	
357	B	0	0	0	1	0	
358	N	0	1	1	1	0	
359	M	0	1	1	0	1	
360	B	0	0	0	1	0	
361	H	0	1	0	0	0	
362	K	0	1	0	1	1	
363	W	1	0	1	1	1	
364	S	1	0	0	1	1	
365	G	0	0	1	1	1	
366	O	0	1	1	1	1	
367	V	1	0	1	1	0	
368	I	0	1	0	0	1	
369	A	0	0	0	0	1	
370	X	0	0	0	0	0	
371	M	0	1	1	0	1	
372	D	0	0	1	0	0	
373	L	0	1	1	0	0	
374	V	1	0	1	1	0	
375	V	1	0	1	1	0	
376	T	1	0	1	0	0	
377	E	0	0	1	0	1	
378	O	0	1	1	1	1	
379	B	0	0	0	1	0	
380	K	0	1	0	1	1	
381	C	0	0	0	1	1	
382	L	0	1	1	0	0	
383	J	0	1	0	1	0	
384	F	0	0	1	1	0	
385	C	0	0	0	1	1	
386	N	0	1	1	1	0	
387	N	0	1	1	1	0	
388	C	0	0	0	1	1	
389	Q	1	0	0	0	1	
390	R	1	0	0	1	0	
391	O	0	1	1	1	1	
392	C	0	0	0	1	1	
393	Q	1	0	0	0	1	
394	S	1	0	0	1	1	
395	N	0	1	1	1	0	
396	W	1	0	1	1	1	
397	C	0	0	0	1	1	
398	G	0	0	1	1	1	
399	A	0	0	0	0	1	
400	L	0	1	1	0	0	
401	E	0	0	1	0	1	
402	R	1	0	0	1	0	
403	V	1	0	1	1	0	
404	V	1	0	1	1	0	
405	X	0	0	0	0	0	
406	X	0	0	0	0	0	
407	M	0	1	1	0	1	
408	C	0	0	0	1	1	
409	L	0	1	1	0	0	
410	I	0	1	0	0	1	
411	Q	1	0	0	0	1	
412	G	0	0	1	1	1	
413	L	0	1	1	0	0	
414	A	0	0	0	0	1	
415	F	0	0	1	1	0	
416	N	0	1	1	1	0	
417	N	0	1	1	1	0	
418	H	0	1	0	0	0	
419	D	0	0	1	0	0	
420	L	0	1	1	0	0	
421	E	0	0	1	0	1	
422	R	1	0	0	1	0	
423	V	1	0	1	1	0	
424	W	1	0	1	1	1	
425	W	1	0	1	1	1	
426	T	1	0	1	0	0	
427	U	1	0	1	0	1	
428	V	1	0	1	1	0	
429	V	1	0	1	1	0	
430	O	0	1	1	1	1	
431	W	1	0	1	1	1	
432	S	1	0	0	1	1	
433	G	0	0	1	1	1	
434	O	0	1	1	1	1	
435	V	1	0	1	1	0	
436	X	0	0	0	0	0	
437	L	0	1	1	0	0	
438	I	0	1	0	0	1	
439	Q	1	0	0	0	1	
440	G	0	0	1	1	1	
441	L	0	1	1	0	0	
442	A	0	0	0	0	1	
443	F	0	0	1	1	0	
444	E	0	0	1	0	1	
445	B	0	0	0	1	0	
446	N	0	1	1	1	0	
447	H	0	1	0	0	0	
448	O	0	1	1	1	1	
449	V	1	0	1	1	0	
450	X	0	0	0	0	0	
451	L	0	1	1	0	0	
452	I	0	1	0	0	1	
453	Q	1	0	0	0	1	
454	G	0	0	1	1	1	
455	L	0	1	1	0	0	
456	A	0	0	0	0	1	
457	F	0	0	1	1	0	
458	M	0	1	1	0	1	
459	D	0	0	1	0	0	
460	E	0	0	1	0	1	
461	K	0	1	0	1	1	
462	N	0	1	1	1	0	
463	M	0	1	1	0	1	
464	B	0	0	0	1	0	
465	N	0	1	1	1	0	
466	W	1	0	1	1	1	
467	C	0	0	0	1	1	
468	G	0	0	1	1	1	
469	A	0	0	0	0	1	
470	L	0	1	1	0	0	
471	E	0	0	1	0	1	
472	T	1	0	1	0	0	
473	I	0	1	0	0	1	
474	L	0	1	1	0	0	
475	L	0	1	1	0	0	
476	I	0	1	0	0	1	
477	Q	1	0	0	0	1	
478	G	0	0	1	1	1	
479	M	0	1	1	0	1	
480	D	0	0	1	0	0	
481	E	0	0	1	0	1	
482	B	0	0	0	1	0	
483	U	1	0	1	0	1	
484	U	1	0	1	0	1	
485	A	0	0	0	0	1	
