THRESHOLD NUMBER OF HITS =177
********             SOLID SEQUENCES                  ********
Sequence LI X =28 Y =66 HITS =408
Sequence GL X =59 Y =56 HITS =253
Sequence LA X =77 Y =75 HITS =471
Sequence AF X =40 Y =50 HITS =316
Sequence FN X =13 Y =49 HITS =235
Sequence NH X =89 Y =100 HITS =348
Sequence HD X =68 Y =70 HITS =196
Sequence DL X =40 Y =69 HITS =188
Sequence LE X =98 Y =100 HITS =317
Sequence ER X =77 Y =1 HITS =281
Sequence RW X =1 Y =39 HITS =187
Sequence WC X =100 Y =64 HITS =360
Sequence CG X =41 Y =87 HITS =357
Sequence GA X =59 Y =87 HITS =344
Sequence AL X =43 Y =28 HITS =538
Sequence RV X =6 Y =45 HITS =311
Sequence VV X =1 Y =100 HITS =1641
Sequence HR X =77 Y =1 HITS =281
Sequence DI X =49 Y =44 HITS =357
Sequence IA X =47 Y =99 HITS =400
Sequence AN X =42 Y =19 HITS =355
Sequence NK X =18 Y =66 HITS =243
Sequence VK X =100 Y =22 HITS =355
Sequence KC X =58 Y =99 HITS =317
Sequence TZ X =11 Y =13 HITS =264
Sequence ZQ X =4 Y =59 HITS =305
Sequence MB X =80 Y =52 HITS =591
Sequence BH X =41 Y =59 HITS =358
Sequence IL X =48 Y =78 HITS =204
Sequence LL X =22 Y =100 HITS =306
Sequence IV X =100 Y =1 HITS =1193
Sequence MD X =70 Y =100 HITS =362
Sequence QF X =81 Y =30 HITS =239
Sequence CL X =64 Y =28 HITS =444
Sequence LJ X =30 Y =57 HITS =342
Sequence FC X =49 Y =88 HITS =601
Sequence BW X =71 Y =1 HITS =245
Sequence WN X =100 Y =51 HITS =234
Sequence NC X =100 Y =84 HITS =451
Sequence IO X =13 Y =32 HITS =194
Sequence CN X =31 Y =1 HITS =416
Sequence KN X =13 Y =57 HITS =329
Sequence NM X =16 Y =75 HITS =396
Sequence LM X =23 Y =92 HITS =283
Sequence BN X =32 Y =14 HITS =405
Sequence OV X =82 Y =21 HITS =334
Sequence VR X =1 Y =76 HITS =177
Sequence ZS X =1 Y =20 HITS =230
Sequence DE X =39 Y =100 HITS =312
Sequence VO X =100 Y =41 HITS =276
Sequence SZ X =11 Y =13 HITS =264
Sequence JG X =62 Y =47 HITS =254
Sequence WD X =100 Y =64 HITS =360


********             LONG SEQUENCES                  ********
Sequence MB -> BN (MBN)  [COUNT 81]
Sequence NC -> CL (NCL)  [COUNT 31]
Sequence FC -> CL (FCL)  [COUNT 59]
Sequence FC -> CL -> LA (FCLA)  [COUNT 39]
Sequence CL -> LJ (CLJ)  [COUNT 36]
Sequence NC -> CL -> LJ (NCLJ)  [COUNT 13]
Sequence NM -> MB (NMB)  [COUNT 33]
Sequence NM -> MB -> BN (NMBN)  [COUNT 16]
Sequence MB -> BH (MBH)  [COUNT 104]
Sequence NM -> MB -> BH (NMBH)  [COUNT 13]
Sequence LA -> AN (LAN)  [COUNT 78]
Sequence KN -> NM (KNM)  [COUNT 26]
Sequence AN -> NC (ANC)  [COUNT 26]
Sequence VV -> VO (VVO)  [COUNT 41]
Sequence LA -> AF (LAF)  [COUNT 24]
Sequence AF -> FC (AFC)  [COUNT 70]
Sequence NC -> CG (NCG)  [COUNT 11]
Sequence DI -> IA (DIA)  [COUNT 121]
Sequence DI -> IA -> AL (DIAL)  [COUNT 46]
Sequence WC -> CG (WCG)  [COUNT 110]
Sequence IV -> VK (IVK)  [COUNT 3]
Sequence AN -> NC -> CG (ANCG)  [COUNT 12]
Sequence DI -> IA -> AN (DIAN)  [COUNT 22]
Sequence CN -> NM (CNM)  [COUNT 44]
Sequence CN -> NM -> MB (CNMB)  [COUNT 44]
Sequence CN -> NM -> MB -> BN (CNMBN)  [COUNT 22]
Sequence NC -> CN (NCN)  [COUNT 15]
Sequence NC -> CN -> NM (NCNM)  [COUNT 15]
Sequence NC -> CN -> NM -> MB (NCNMB)  [COUNT 15]
Sequence NC -> CN -> NM -> MB -> BN (NCNMBN)  [COUNT 15]
Sequence AF -> FC -> CN (AFCN)  [COUNT 43]
Sequence AF -> FC -> CN -> NH (AFCNH)  [COUNT 43]
Sequence CN -> NM -> MB -> BH (CNMBH)  [COUNT 22]
Sequence OV -> VV (OVV)  [COUNT 65]
Sequence VV -> VO -> OV (VVOV)  [COUNT 25]
Sequence VV -> VO -> OV -> VK (VVOVK)  [COUNT 22]
Sequence LI -> IV (LIV)  [COUNT 13]
Sequence LI -> IV -> VK (LIVK)  [COUNT 7]
Sequence VO -> OV (VOV)  [COUNT 20]
Sequence VO -> OV -> VK (VOVK)  [COUNT 20]
Sequence NC -> CL -> LI (NCLI)  [COUNT 5]
Sequence FC -> CN (FCN)  [COUNT 57]
Sequence FC -> CN -> NM (FCNM)  [COUNT 38]
Sequence FC -> CN -> NM -> MB (FCNMB)  [COUNT 38]
