Point	Label	1	2	3	4	5		
1	M	0	1	1	0	1		
2	D	0	0	1	0	0		
3	L	0	1	1	0	0		
4	U	1	0	1	0	1		
5	A	0	0	0	0	1		
6	F	0	0	1	1	0		
7	C	0	0	0	1	1		
8	L	0	1	1	0	0		
9	A	0	0	0	0	1		
10	F	0	0	1	1	0		
11	N	0	1	1	1	0		
12	N	0	1	1	1	0		
13	H	0	1	0	0	0		
14	D	0	0	1	0	0		
15	N	0	1	1	1	0		
16	N	0	1	1	1	0		
17	D	0	0	1	0	0		
18	L	0	1	1	0	0		
19	E	0	0	1	0	1		
20	R	1	0	0	1	0		
21	S	1	0	0	1	1		
22	F	0	0	1	1	0		
23	N	0	1	1	1	0		
24	D	0	0	1	0	0		
25	L	0	1	1	0	0		
26	E	0	0	1	0	1		
27	R	1	0	0	1	0		
28	V	1	0	1	1	0		
29	Z	1	1	0	0	0		
30	S	1	0	0	1	1		
31	F	0	0	1	1	0		
32	N	0	1	1	1	0		
33	D	0	0	1	0	0		
34	L	0	1	1	0	0		
35	E	0	0	1	0	1		
36	R	1	0	0	1	0		
37	U	1	0	1	0	1		
38	L	0	1	1	0	0		
39	A	0	0	0	0	1		
40	N	0	1	1	1	0		
41	K	0	1	0	1	1		
42	R	1	0	0	1	0		
43	V	1	0	1	1	0		
44	V	1	0	1	1	0		
45	O	0	1	1	1	1		
46	V	1	0	1	1	0		
47	K	0	1	0	1	1		
48	C	0	0	0	1	1		
49	S	1	0	0	1	1		
50	H	0	1	0	0	0		
51	R	1	0	0	1	0		
52	C	0	0	0	1	1		
53	S	1	0	0	1	1		
54	G	0	0	1	1	1		
55	O	0	1	1	1	1		
56	U	1	0	1	0	1		
57	I	0	1	0	0	1		
58	L	0	1	1	0	0		
59	L	0	1	1	0	0		
60	I	0	1	0	0	1		
61	U	1	0	1	0	1		
62	O	0	1	1	1	1		
63	B	0	0	0	1	0		
64	K	0	1	0	1	1		
65	C	0	0	0	1	1		
66	M	0	1	1	0	1		
67	D	0	0	1	0	0		
68	I	0	1	0	0	1		
69	A	0	0	0	0	1		
70	Q	1	0	0	0	1		
71	F	0	0	1	1	0		
72	R	1	0	0	1	0		
73	V	1	0	1	1	0		
74	K	0	1	0	1	1		
75	C	0	0	0	1	1		
76	L	0	1	1	0	0		
77	I	0	1	0	0	1		
78	U	1	0	1	0	1		
79	Q	1	0	0	0	1		
80	F	0	0	1	1	0		
81	S	1	0	0	1	1		
82	Z	1	1	0	0	0		
83	Z	1	1	0	0	0		
84	P	1	0	0	0	0		
85	K	0	1	0	1	1		
86	N	0	1	1	1	0		
87	N	0	1	1	1	0		
88	K	0	1	0	1	1		
89	S	1	0	0	1	1		
90	E	0	0	1	0	1		
91	R	1	0	0	1	0		
92	S	1	0	0	1	1		
93	E	0	0	1	0	1		
94	E	0	0	1	0	1		
95	R	1	0	0	1	0		
96	U	1	0	1	0	1		
97	L	0	1	1	0	0		
98	A	0	0	0	0	1		
99	N	0	1	1	1	0		
100	K	0	1	0	1	1		
101	T	1	0	1	0	0		
102	J	0	1	0	1	0		
103	G	0	0	1	1	1		
104	A	0	0	0	0	1		
105	L	0	1	1	0	0		
106	M	0	1	1	0	1		
107	D	0	0	1	0	0		
108	E	0	0	1	0	1		
109	I	0	1	0	0	1		
110	Q	1	0	0	0	1		
111	G	0	0	1	1	1		
112	L	0	1	1	0	0		
113	A	0	0	0	0	1		
114	F	0	0	1	1	0		
115	N	0	1	1	1	0		
116	N	0	1	1	1	0		
117	H	0	1	0	0	0		
118	D	0	0	1	0	0		
119	L	0	1	1	0	0		
120	N	0	1	1	1	0		
121	D	0	0	1	0	0		
122	M	0	1	1	0	1		
123	B	0	0	0	1	0		
124	H	0	1	0	0	0		
125	D	0	0	1	0	0		
126	U	1	0	1	0	1		
127	L	0	1	1	0	0		
128	B	0	0	0	1	0		
129	N	0	1	1	1	0		
130	W	1	0	1	1	1		
131	D	0	0	1	0	0		
132	U	1	0	1	0	1		
133	L	0	1	1	0	0		
134	B	0	0	0	1	0		
135	N	0	1	1	1	0		
136	V	1	0	1	1	0		
