Point	Label	1	2	3	4	5	
1	L	0	1	1	0	0	
2	I	0	1	0	0	1	
3	O	0	1	1	1	1	
4	V	1	0	1	1	0	
5	V	1	0	1	1	0	
6	T	1	0	1	0	0	
7	E	0	0	1	0	1	
8	O	0	1	1	1	1	
9	A	0	0	0	0	1	
10	Q	1	0	0	0	1	
11	F	0	0	1	1	0	
12	R	1	0	0	1	0	
13	U	1	0	1	0	1	
14	O	0	1	1	1	1	
15	A	0	0	0	0	1	
16	Q	1	0	0	0	1	
17	F	0	0	1	1	0	
18	R	1	0	0	1	0	
19	V	1	0	1	1	0	
20	I	0	1	0	0	1	
21	A	0	0	0	0	1	
22	Q	1	0	0	0	1	
23	F	0	0	1	1	0	
24	S	1	0	0	1	1	
25	W	1	0	1	1	1	
26	R	1	0	0	1	0	
27	B	0	0	0	1	0	
28	M	0	1	1	0	1	
29	D	0	0	1	0	0	
30	E	0	0	1	0	1	
31	I	0	1	0	0	1	
32	V	1	0	1	1	0	
33	J	0	1	0	1	0	
34	Z	1	1	0	0	0	
35	S	1	0	0	1	1	
36	Z	1	1	0	0	0	
37	U	1	0	1	0	1	
38	A	0	0	0	0	1	
39	E	0	0	1	0	1	
40	B	0	0	0	1	0	
41	Z	1	1	0	0	0	
42	Q	1	0	0	0	1	
43	G	0	0	1	1	1	
44	M	0	1	1	0	1	
45	D	0	0	1	0	0	
46	F	0	0	1	1	0	
47	C	0	0	0	1	1	
48	L	0	1	1	0	0	
49	A	0	0	0	0	1	
50	E	0	0	1	0	1	
51	B	0	0	0	1	0	
52	N	0	1	1	1	0	
53	H	0	1	0	0	0	
54	O	0	1	1	1	1	
55	W	1	0	1	1	1	
56	N	0	1	1	1	0	
57	C	0	0	0	1	1	
58	L	0	1	1	0	0	
59	J	0	1	0	1	0	
60	F	0	0	1	1	0	
61	C	0	0	0	1	1	
62	L	0	1	1	0	0	
63	F	0	0	1	1	0	
64	M	0	1	1	0	1	
65	D	0	0	1	0	0	
66	E	0	0	1	0	1	
67	K	0	1	0	1	1	
68	N	0	1	1	1	0	
69	N	0	1	1	1	0	
70	K	0	1	0	1	1	
71	T	1	0	1	0	0	
72	I	0	1	0	0	1	
73	N	0	1	1	1	0	
74	I	0	1	0	0	1	
75	M	0	1	1	0	1	
76	B	0	0	0	1	0	
77	N	0	1	1	1	0	
78	Z	1	1	0	0	0	
79	T	1	0	1	0	0	
80	J	0	1	0	1	0	
81	G	0	0	1	1	1	
82	A	0	0	0	0	1	
83	L	0	1	1	0	0	
84	N	0	1	1	1	0	
85	N	0	1	1	1	0	
86	G	0	0	1	1	1	
87	M	0	1	1	0	1	
88	B	0	0	0	1	0	
89	H	0	1	0	0	0	
90	I	0	1	0	0	1	
91	M	0	1	1	0	1	
92	B	0	0	0	1	0	
93	M	0	1	1	0	1	
94	R	1	0	0	1	0	
95	O	0	1	1	1	1	
96	D	0	0	1	0	0	
97	L	0	1	1	0	0	
98	M	0	1	1	0	1	
99	D	0	0	1	0	0	
100	E	0	0	1	0	1	
101	I	0	1	0	0	1	
102	G	0	0	1	1	1	
103	O	0	1	1	1	1	
104	B	0	0	0	1	0	
105	K	0	1	0	1	1	
106	C	0	0	0	1	1	
107	N	0	1	1	1	0	
108	N	0	1	1	1	0	
109	J	0	1	0	1	0	
110	G	0	0	1	1	1	
111	A	0	0	0	0	1	
112	M	0	1	1	0	1	
113	B	0	0	0	1	0	
114	H	0	1	0	0	0	
115	K	0	1	0	1	1	
116	V	1	0	1	1	0	
117	I	0	1	0	0	1	
118	A	0	0	0	0	1	
119	N	0	1	1	1	0	
120	K	0	1	0	1	1	
121	V	1	0	1	1	0	
122	K	0	1	0	1	1	
123	C	0	0	0	1	1	
124	S	1	0	0	1	1	
125	G	0	0	1	1	1	
126	O	0	1	1	1	1	
127	Z	1	1	0	0	0	
128	Q	1	0	0	0	1	
129	Z	1	1	0	0	0	
130	W	1	0	1	1	1	
131	C	0	0	0	1	1	
132	G	0	0	1	1	1	
133	A	0	0	0	0	1	
134	L	0	1	1	0	0	
135	E	0	0	1	0	1	
136	S	1	0	0	1	1	
137	F	0	0	1	1	0	
138	N	0	1	1	1	0	
139	C	0	0	0	1	1	
140	X	0	0	0	0	0	
141	X	0	0	0	0	0	
142	L	0	1	1	0	0	
143	I	0	1	0	0	1	
144	O	0	1	1	1	1	
145	V	1	0	1	1	0	
146	V	1	0	1	1	0	
147	T	1	0	1	0	0	
148	E	0	0	1	0	1	
149	O	0	1	1	1	1	
150	A	0	0	0	0	1	
151	Q	1	0	0	0	1	
152	F	0	0	1	1	0	
153	R	1	0	0	1	0	
154	U	1	0	1	0	1	
155	O	0	1	1	1	1	
156	A	0	0	0	0	1	
157	Q	1	0	0	0	1	
158	F	0	0	1	1	0	
159	R	1	0	0	1	0	
160	V	1	0	1	1	0	
161	I	0	1	0	0	1	
162	A	0	0	0	0	1	
163	Q	1	0	0	0	1	
164	F	0	0	1	1	0	
165	S	1	0	0	1	1	
166	W	1	0	1	1	1	
167	R	1	0	0	1	0	
168	B	0	0	0	1	0	
169	M	0	1	1	0	1	
170	D	0	0	1	0	0	
171	E	0	0	1	0	1	
172	I	0	1	0	0	1	
173	V	1	0	1	1	0	
174	J	0	1	0	1	0	
175	Z	1	1	0	0	0	
176	S	1	0	0	1	1	
177	Z	1	1	0	0	0	
178	U	1	0	1	0	1	
179	A	0	0	0	0	1	
180	E	0	0	1	0	1	
181	B	0	0	0	1	0	
182	Z	1	1	0	0	0	
183	Q	1	0	0	0	1	
184	G	0	0	1	1	1	
185	M	0	1	1	0	1	
186	D	0	0	1	0	0	
187	F	0	0	1	1	0	
188	C	0	0	0	1	1	
189	L	0	1	1	0	0	
190	A	0	0	0	0	1	
191	E	0	0	1	0	1	
192	B	0	0	0	1	0	
193	N	0	1	1	1	0	
194	H	0	1	0	0	0	
195	O	0	1	1	1	1	
196	W	1	0	1	1	1	
197	N	0	1	1	1	0	
198	C	0	0	0	1	1	
199	L	0	1	1	0	0	
200	J	0	1	0	1	0	
201	F	0	0	1	1	0	
202	C	0	0	0	1	1	
203	L	0	1	1	0	0	
204	F	0	0	1	1	0	
205	M	0	1	1	0	1	
206	D	0	0	1	0	0	
207	E	0	0	1	0	1	
208	K	0	1	0	1	1	
209	N	0	1	1	1	0	
210	N	0	1	1	1	0	
211	K	0	1	0	1	1	
212	T	1	0	1	0	0	
213	I	0	1	0	0	1	
214	N	0	1	1	1	0	
215	I	0	1	0	0	1	
216	M	0	1	1	0	1	
217	B	0	0	0	1	0	
218	N	0	1	1	1	0	
219	Z	1	1	0	0	0	
220	T	1	0	1	0	0	
221	J	0	1	0	1	0	
222	G	0	0	1	1	1	
223	A	0	0	0	0	1	
224	L	0	1	1	0	0	
225	N	0	1	1	1	0	
226	N	0	1	1	1	0	
227	G	0	0	1	1	1	
228	M	0	1	1	0	1	
229	B	0	0	0	1	0	
230	H	0	1	0	0	0	
231	I	0	1	0	0	1	
232	M	0	1	1	0	1	
233	B	0	0	0	1	0	
234	M	0	1	1	0	1	
235	R	1	0	0	1	0	
236	O	0	1	1	1	1	
237	D	0	0	1	0	0	
238	L	0	1	1	0	0	
239	M	0	1	1	0	1	
240	D	0	0	1	0	0	
241	E	0	0	1	0	1	
242	I	0	1	0	0	1	
243	G	0	0	1	1	1	
244	O	0	1	1	1	1	
245	B	0	0	0	1	0	
246	K	0	1	0	1	1	
247	C	0	0	0	1	1	
248	N	0	1	1	1	0	
249	N	0	1	1	1	0	
250	J	0	1	0	1	0	
251	G	0	0	1	1	1	
252	A	0	0	0	0	1	
253	M	0	1	1	0	1	
254	B	0	0	0	1	0	
255	H	0	1	0	0	0	
256	K	0	1	0	1	1	
257	V	1	0	1	1	0	
258	I	0	1	0	0	1	
259	A	0	0	0	0	1	
260	N	0	1	1	1	0	
261	K	0	1	0	1	1	
262	V	1	0	1	1	0	
263	K	0	1	0	1	1	
264	C	0	0	0	1	1	
265	S	1	0	0	1	1	
266	G	0	0	1	1	1	
267	O	0	1	1	1	1	
268	Z	1	1	0	0	0	
269	Q	1	0	0	0	1	
270	Z	1	1	0	0	0	
271	W	1	0	1	1	1	
272	C	0	0	0	1	1	
273	G	0	0	1	1	1	
274	A	0	0	0	0	1	
275	L	0	1	1	0	0	
276	E	0	0	1	0	1	
277	S	1	0	0	1	1	
278	F	0	0	1	1	0	
279	N	0	1	1	1	0	
280	C	0	0	0	1	1	
281	X	0	0	0	0	0	
282	X	0	0	0	0	0	
283	L	0	1	1	0	0	
284	I	0	1	0	0	1	
285	O	0	1	1	1	1	
286	V	1	0	1	1	0	
287	V	1	0	1	1	0	
288	T	1	0	1	0	0	
289	E	0	0	1	0	1	
290	O	0	1	1	1	1	
291	A	0	0	0	0	1	
292	Q	1	0	0	0	1	
293	F	0	0	1	1	0	
294	R	1	0	0	1	0	
295	U	1	0	1	0	1	
296	O	0	1	1	1	1	
297	A	0	0	0	0	1	
298	Q	1	0	0	0	1	
299	F	0	0	1	1	0	
300	R	1	0	0	1	0	
301	V	1	0	1	1	0	
302	I	0	1	0	0	1	
303	A	0	0	0	0	1	
304	Q	1	0	0	0	1	
305	F	0	0	1	1	0	
306	S	1	0	0	1	1	
307	W	1	0	1	1	1	
308	R	1	0	0	1	0	
309	B	0	0	0	1	0	
310	M	0	1	1	0	1	
311	D	0	0	1	0	0	
312	E	0	0	1	0	1	
313	I	0	1	0	0	1	
314	V	1	0	1	1	0	
315	J	0	1	0	1	0	
316	Z	1	1	0	0	0	
317	S	1	0	0	1	1	
318	Z	1	1	0	0	0	
319	U	1	0	1	0	1	
320	A	0	0	0	0	1	
321	E	0	0	1	0	1	
322	B	0	0	0	1	0	
323	Z	1	1	0	0	0	
324	Q	1	0	0	0	1	
325	G	0	0	1	1	1	
326	M	0	1	1	0	1	
327	D	0	0	1	0	0	
328	F	0	0	1	1	0	
329	C	0	0	0	1	1	
330	L	0	1	1	0	0	
331	A	0	0	0	0	1	
332	E	0	0	1	0	1	
333	B	0	0	0	1	0	
334	N	0	1	1	1	0	
335	H	0	1	0	0	0	
336	O	0	1	1	1	1	
337	W	1	0	1	1	1	
338	N	0	1	1	1	0	
339	C	0	0	0	1	1	
340	L	0	1	1	0	0	
341	J	0	1	0	1	0	
342	F	0	0	1	1	0	
343	C	0	0	0	1	1	
344	L	0	1	1	0	0	
345	F	0	0	1	1	0	
346	M	0	1	1	0	1	
347	D	0	0	1	0	0	
348	E	0	0	1	0	1	
349	K	0	1	0	1	1	
350	N	0	1	1	1	0	
351	N	0	1	1	1	0	
352	K	0	1	0	1	1	
353	T	1	0	1	0	0	
354	I	0	1	0	0	1	
355	N	0	1	1	1	0	
356	I	0	1	0	0	1	
357	M	0	1	1	0	1	
358	B	0	0	0	1	0	
359	N	0	1	1	1	0	
360	Z	1	1	0	0	0	
361	T	1	0	1	0	0	
362	J	0	1	0	1	0	
363	G	0	0	1	1	1	
364	A	0	0	0	0	1	
365	L	0	1	1	0	0	
366	N	0	1	1	1	0	
367	N	0	1	1	1	0	
368	G	0	0	1	1	1	
369	M	0	1	1	0	1	
370	B	0	0	0	1	0	
371	H	0	1	0	0	0	
372	I	0	1	0	0	1	
373	M	0	1	1	0	1	
374	B	0	0	0	1	0	
375	M	0	1	1	0	1	
376	R	1	0	0	1	0	
377	O	0	1	1	1	1	
378	D	0	0	1	0	0	
379	L	0	1	1	0	0	
380	M	0	1	1	0	1	
381	D	0	0	1	0	0	
382	E	0	0	1	0	1	
383	I	0	1	0	0	1	
384	G	0	0	1	1	1	
385	O	0	1	1	1	1	
386	B	0	0	0	1	0	
387	K	0	1	0	1	1	
388	C	0	0	0	1	1	
389	N	0	1	1	1	0	
390	N	0	1	1	1	0	
391	J	0	1	0	1	0	
392	G	0	0	1	1	1	
393	A	0	0	0	0	1	
394	M	0	1	1	0	1	
395	B	0	0	0	1	0	
396	H	0	1	0	0	0	
397	K	0	1	0	1	1	
398	V	1	0	1	1	0	
399	I	0	1	0	0	1	
400	A	0	0	0	0	1	
401	N	0	1	1	1	0	
402	K	0	1	0	1	1	
403	V	1	0	1	1	0	
404	K	0	1	0	1	1	
405	C	0	0	0	1	1	
406	S	1	0	0	1	1	
407	G	0	0	1	1	1	
408	O	0	1	1	1	1	
409	Z	1	1	0	0	0	
410	Q	1	0	0	0	1	
411	Z	1	1	0	0	0	
412	W	1	0	1	1	1	
413	C	0	0	0	1	1	
414	G	0	0	1	1	1	
415	A	0	0	0	0	1	
416	L	0	1	1	0	0	
417	E	0	0	1	0	1	
418	S	1	0	0	1	1	
419	F	0	0	1	1	0	
420	N	0	1	1	1	0	
421	C	0	0	0	1	1	
422	X	0	0	0	0	0	
423	X	0	0	0	0	0	
424	L	0	1	1	0	0	
425	I	0	1	0	0	1	
426	O	0	1	1	1	1	
427	V	1	0	1	1	0	
428	V	1	0	1	1	0	
429	T	1	0	1	0	0	
430	E	0	0	1	0	1	
431	O	0	1	1	1	1	
432	A	0	0	0	0	1	
433	Q	1	0	0	0	1	
434	F	0	0	1	1	0	
435	R	1	0	0	1	0	
436	U	1	0	1	0	1	
437	O	0	1	1	1	1	
438	A	0	0	0	0	1	
439	Q	1	0	0	0	1	
440	F	0	0	1	1	0	
441	R	1	0	0	1	0	
442	V	1	0	1	1	0	
443	I	0	1	0	0	1	
444	A	0	0	0	0	1	
445	Q	1	0	0	0	1	
446	F	0	0	1	1	0	
447	S	1	0	0	1	1	
448	W	1	0	1	1	1	
449	R	1	0	0	1	0	
450	B	0	0	0	1	0	
451	M	0	1	1	0	1	
452	D	0	0	1	0	0	
453	E	0	0	1	0	1	
454	I	0	1	0	0	1	
455	V	1	0	1	1	0	
456	J	0	1	0	1	0	
457	Z	1	1	0	0	0	
458	S	1	0	0	1	1	
459	Z	1	1	0	0	0	
460	U	1	0	1	0	1	
461	A	0	0	0	0	1	
462	E	0	0	1	0	1	
463	B	0	0	0	1	0	
464	Z	1	1	0	0	0	
465	Q	1	0	0	0	1	
466	G	0	0	1	1	1	
467	M	0	1	1	0	1	
468	D	0	0	1	0	0	
469	F	0	0	1	1	0	
470	C	0	0	0	1	1	
471	L	0	1	1	0	0	
472	A	0	0	0	0	1	
473	E	0	0	1	0	1	
474	B	0	0	0	1	0	
475	N	0	1	1	1	0	
476	H	0	1	0	0	0	
477	O	0	1	1	1	1	
478	W	1	0	1	1	1	
479	N	0	1	1	1	0	
480	C	0	0	0	1	1	
481	L	0	1	1	0	0	
482	J	0	1	0	1	0	
