Point	Label	1	2	3	4	5
1	L	0	1	1	0	0
2	I	0	1	0	0	1
3	Q	1	0	0	0	1
4	G	0	0	1	1	1
5	L	0	1	1	0	0
6	A	0	0	0	0	1
7	F	0	0	1	1	0
8	N	0	1	1	1	0
9	N	0	1	1	1	0
10	H	0	1	0	0	0
11	D	0	0	1	0	0
12	M	0	1	1	0	1
13	B	0	0	0	1	0
14	G	0	0	1	1	1
15	A	0	0	0	0	1
16	L	0	1	1	0	0
17	E	0	0	1	0	1
18	R	1	0	0	1	0
19	W	1	0	1	1	1
20	C	0	0	0	1	1
21	G	0	0	1	1	1
22	A	0	0	0	0	1
23	L	0	1	1	0	0
24	E	0	0	1	0	1
25	R	1	0	0	1	0
26	U	1	0	1	0	1
27	L	0	1	1	0	0
28	A	0	0	0	0	1
29	N	0	1	1	1	0
30	K	0	1	0	1	1
31	S	1	0	0	1	1
32	E	0	0	1	0	1
33	T	1	0	1	0	0
34	J	0	1	0	1	0
35	G	0	0	1	1	1
36	A	0	0	0	0	1
37	L	0	1	1	0	0
38	L	0	1	1	0	0
39	E	0	0	1	0	1
40	B	0	0	0	1	0
41	N	0	1	1	1	0
42	H	0	1	0	0	0
43	O	0	1	1	1	1
44	V	1	0	1	1	0
45	W	1	0	1	1	1
46	R	1	0	0	1	0
47	B	0	0	0	1	0
48	M	0	1	1	0	1
49	D	0	0	1	0	0
50	E	0	0	1	0	1
51	K	0	1	0	1	1
52	M	0	1	1	0	1
53	D	0	0	1	0	0
54	I	0	1	0	0	1
55	A	0	0	0	0	1
56	Q	1	0	0	0	1
57	F	0	0	1	1	0
58	R	1	0	0	1	0
59	V	1	0	1	1	0
60	I	0	1	0	0	1
61	A	0	0	0	0	1
62	P	1	0	0	0	0
63	W	1	0	1	1	1
64	K	0	1	0	1	1
65	N	0	1	1	1	0
66	N	0	1	1	1	0
67	K	0	1	0	1	1
68	W	1	0	1	1	1
69	R	1	0	0	1	0
70	D	0	0	1	0	0
71	J	0	1	0	1	0
72	Z	1	1	0	0	0
73	Q	1	0	0	0	1
74	Z	1	1	0	0	0
75	U	1	0	1	0	1
76	L	0	1	1	0	0
77	A	0	0	0	0	1
78	L	0	1	1	0	0
79	M	0	1	1	0	1
80	D	0	0	1	0	0
81	L	0	1	1	0	0
82	U	1	0	1	0	1
83	A	0	0	0	0	1
84	F	0	0	1	1	0
85	C	0	0	0	1	1
86	N	0	1	1	1	0
87	H	0	1	0	0	0
88	P	1	0	0	0	0
89	J	0	1	0	1	0
90	F	0	0	1	1	0
91	C	0	0	0	1	1
92	N	0	1	1	1	0
93	N	0	1	1	1	0
94	H	0	1	0	0	0
95	D	0	0	1	0	0
96	L	0	1	1	0	0
97	E	0	0	1	0	1
98	R	1	0	0	1	0
99	V	1	0	1	1	0
100	V	1	0	1	1	0
101	P	1	0	0	0	0
102	H	0	1	0	0	0
103	R	1	0	0	1	0
104	D	0	0	1	0	0
105	I	0	1	0	0	1
106	A	0	0	0	0	1
107	N	0	1	1	1	0
108	J	0	1	0	1	0
109	G	0	0	1	1	1
110	A	0	0	0	0	1
111	L	0	1	1	0	0
112	L	0	1	1	0	0
113	A	0	0	0	0	1
114	T	1	0	1	0	0
115	V	1	0	1	1	0
116	X	0	0	0	0	0
117	X	0	0	0	0	0
118	L	0	1	1	0	0
119	I	0	1	0	0	1
120	Q	1	0	0	0	1
121	G	0	0	1	1	1
122	L	0	1	1	0	0
123	A	0	0	0	0	1
124	F	0	0	1	1	0
125	N	0	1	1	1	0
126	N	0	1	1	1	0
127	H	0	1	0	0	0
128	D	0	0	1	0	0
129	L	0	1	1	0	0
130	E	0	0	1	0	1
131	R	1	0	0	1	0
132	V	1	0	1	1	0
133	V	1	0	1	1	0
134	O	0	1	1	1	1
135	V	1	0	1	1	0
136	K	0	1	0	1	1
137	C	0	0	0	1	1
138	S	1	0	0	1	1
139	G	0	0	1	1	1
140	O	0	1	1	1	1
141	V	1	0	1	1	0
142	K	0	1	0	1	1
143	C	0	0	0	1	1
144	T	1	0	1	0	0
145	U	1	0	1	0	1
146	I	0	1	0	0	1
147	L	0	1	1	0	0
148	L	0	1	1	0	0
149	I	0	1	0	0	1
150	U	1	0	1	0	1
151	O	0	1	1	1	1
152	B	0	0	0	1	0
153	J	0	1	0	1	0
154	Z	1	1	0	0	0
155	S	1	0	0	1	1
156	Z	1	1	0	0	0
157	U	1	0	1	0	1
158	A	0	0	0	0	1
159	F	0	0	1	1	0
160	C	0	0	0	1	1
161	N	0	1	1	1	0
162	H	0	1	0	0	0
163	O	0	1	1	1	1
164	W	1	0	1	1	1
165	N	0	1	1	1	0
166	C	0	0	0	1	1
167	L	0	1	1	0	0
168	J	0	1	0	1	0
169	F	0	0	1	1	0
170	C	0	0	0	1	1
171	N	0	1	1	1	0
172	N	0	1	1	1	0
173	H	0	1	0	0	0
174	D	0	0	1	0	0
175	M	0	1	1	0	1
176	B	0	0	0	1	0
177	H	0	1	0	0	0
178	D	0	0	1	0	0
179	U	1	0	1	0	1
180	L	0	1	1	0	0
181	A	0	0	0	0	1
182	N	0	1	1	1	0
183	K	0	1	0	1	1
184	I	0	1	0	0	1
185	L	0	1	1	0	0
186	L	0	1	1	0	0
187	N	0	1	1	1	0
188	N	0	1	1	1	0
189	J	0	1	0	1	0
190	G	0	0	1	1	1
191	A	0	0	0	0	1
192	L	0	1	1	0	0
193	M	0	1	1	0	1
194	D	0	0	1	0	0
195	E	0	0	1	0	1
196	I	0	1	0	0	1
197	O	0	1	1	1	1
198	V	1	0	1	1	0
199	V	1	0	1	1	0
200	T	1	0	1	0	0
201	E	0	0	1	0	1
202	O	0	1	1	1	1
203	B	0	0	0	1	0
204	K	0	1	0	1	1
205	C	0	0	0	1	1
206	N	0	1	1	1	0
207	M	0	1	1	0	1
208	B	0	0	0	1	0
209	K	0	1	0	1	1
210	C	0	0	0	1	1
211	S	1	0	0	1	1
212	G	0	0	1	1	1
213	O	0	1	1	1	1
214	V	1	0	1	1	0
215	I	0	1	0	0	1
216	A	0	0	0	0	1
217	N	0	1	1	1	0
218	J	0	1	0	1	0
219	G	0	0	1	1	1
220	A	0	0	0	0	1
221	L	0	1	1	0	0
222	L	0	1	1	0	0
223	B	0	0	0	1	0
224	M	0	1	1	0	1
225	D	0	0	1	0	0
226	E	0	0	1	0	1
227	X	0	0	0	0	0
228	X	0	0	0	0	0
229	L	0	1	1	0	0
230	I	0	1	0	0	1
231	Q	1	0	0	0	1
232	G	0	0	1	1	1
233	L	0	1	1	0	0
234	A	0	0	0	0	1
235	F	0	0	1	1	0
236	N	0	1	1	1	0
237	N	0	1	1	1	0
238	H	0	1	0	0	0
239	D	0	0	1	0	0
240	L	0	1	1	0	0
241	F	0	0	1	1	0
242	N	0	1	1	1	0
243	D	0	0	1	0	0
244	L	0	1	1	0	0
245	N	0	1	1	1	0
246	D	0	0	1	0	0
247	M	0	1	1	0	1
248	B	0	0	0	1	0
249	H	0	1	0	0	0
250	D	0	0	1	0	0
251	W	1	0	1	1	1
252	D	0	0	1	0	0
253	V	1	0	1	1	0
254	V	1	0	1	1	0
255	P	1	0	0	0	0
256	H	0	1	0	0	0
257	R	1	0	0	1	0
258	D	0	0	1	0	0
259	J	0	1	0	1	0
260	U	1	0	1	0	1
261	I	0	1	0	0	1
262	L	0	1	1	0	0
263	L	0	1	1	0	0
264	I	0	1	0	0	1
265	U	1	0	1	0	1
266	O	0	1	1	1	1
267	B	0	0	0	1	0
268	J	0	1	0	1	0
269	Z	1	1	0	0	0
270	S	1	0	0	1	1
271	Z	1	1	0	0	0
272	Z	1	1	0	0	0
273	Q	1	0	0	0	1
274	G	0	0	1	1	1
275	M	0	1	1	0	1
276	D	0	0	1	0	0
277	E	0	0	1	0	1
278	B	0	0	0	1	0
279	W	1	0	1	1	1
280	N	0	1	1	1	0
281	C	0	0	0	1	1
282	L	0	1	1	0	0
283	I	0	1	0	0	1
284	Q	1	0	0	0	1
285	H	0	1	0	0	0
286	O	0	1	1	1	1
287	W	1	0	1	1	1
288	N	0	1	1	1	0
289	C	0	0	0	1	1
290	L	0	1	1	0	0
291	J	0	1	0	1	0
292	F	0	0	1	1	0
293	C	0	0	0	1	1
294	N	0	1	1	1	0
295	N	0	1	1	1	0
296	M	0	1	1	0	1
297	B	0	0	0	1	0
298	H	0	1	0	0	0
299	K	0	1	0	1	1
300	S	1	0	0	1	1
301	E	0	0	1	0	1
302	R	1	0	0	1	0
303	V	1	0	1	1	0
304	Z	1	1	0	0	0
305	U	1	0	1	0	1
306	L	0	1	1	0	0
307	A	0	0	0	0	1
308	L	0	1	1	0	0
309	N	0	1	1	1	0
310	K	0	1	0	1	1
311	R	1	0	0	1	0
312	V	1	0	1	1	0
313	V	1	0	1	1	0
314	O	0	1	1	1	1
315	V	1	0	1	1	0
316	I	0	1	0	0	1
317	A	0	0	0	0	1
318	N	0	1	1	1	0
319	K	0	1	0	1	1
320	Z	1	1	0	0	0
321	Q	1	0	0	0	1
322	O	0	1	1	1	1
323	U	1	0	1	0	1
324	J	0	1	0	1	0
325	G	0	0	1	1	1
326	A	0	0	0	0	1
327	L	0	1	1	0	0
328	L	0	1	1	0	0
329	B	0	0	0	1	0
330	M	0	1	1	0	1
331	D	0	0	1	0	0
332	E	0	0	1	0	1
333	K	0	1	0	1	1
334	N	0	1	1	1	0
335	M	0	1	1	0	1
336	A	0	0	0	0	1
337	L	0	1	1	0	0
338	M	0	1	1	0	1
339	D	0	0	1	0	0
340	I	0	1	0	0	1
341	A	0	0	0	0	1
342	Q	1	0	0	0	1
343	F	0	0	1	1	0
344	X	0	0	0	0	0
345	X	0	0	0	0	0
346	L	0	1	1	0	0
347	I	0	1	0	0	1
348	Q	1	0	0	0	1
349	G	0	0	1	1	1
350	M	0	1	1	0	1
351	D	0	0	1	0	0
352	E	0	0	1	0	1
353	B	0	0	0	1	0
354	W	1	0	1	1	1
355	N	0	1	1	1	0
356	C	0	0	0	1	1
357	N	0	1	1	1	0
358	N	0	1	1	1	0
359	K	0	1	0	1	1
360	R	1	0	0	1	0
361	V	1	0	1	1	0
362	U	1	0	1	0	1
363	Q	1	0	0	0	1
364	S	1	0	0	1	1
365	L	0	1	1	0	0
366	B	0	0	0	1	0
367	N	0	1	1	1	0
368	W	1	0	1	1	1
369	C	0	0	0	1	1
370	G	0	0	1	1	1
371	A	0	0	0	0	1
372	L	0	1	1	0	0
373	N	0	1	1	1	0
374	C	0	0	0	1	1
375	G	0	0	1	1	1
376	L	0	1	1	0	0
377	L	0	1	1	0	0
378	E	0	0	1	0	1
379	B	0	0	0	1	0
380	N	0	1	1	1	0
381	H	0	1	0	0	0
382	O	0	1	1	1	1
383	V	1	0	1	1	0
384	V	1	0	1	1	0
385	R	1	0	0	1	0
386	V	1	0	1	1	0
387	I	0	1	0	0	1
388	A	0	0	0	0	1
389	P	1	0	0	0	0
390	W	1	0	1	1	1
391	K	0	1	0	1	1
392	N	0	1	1	1	0
393	N	0	1	1	1	0
394	K	0	1	0	1	1
395	W	1	0	1	1	1
396	R	1	0	0	1	0
397	D	0	0	1	0	0
398	J	0	1	0	1	0
399	Z	1	1	0	0	0
400	P	1	0	0	0	0
401	H	0	1	0	0	0
402	R	1	0	0	1	0
403	D	0	0	1	0	0
404	I	0	1	0	0	1
405	A	0	0	0	0	1
406	N	0	1	1	1	0
407	J	0	1	0	1	0
408	G	0	0	1	1	1
409	A	0	0	0	0	1
410	L	0	1	1	0	0
411	M	0	1	1	0	1
412	D	0	0	1	0	0
413	E	0	0	1	0	1
414	K	0	1	0	1	1
415	N	0	1	1	1	0
416	M	0	1	1	0	1
417	A	0	0	0	0	1
418	M	0	1	1	0	1
419	A	0	0	0	0	1
420	L	0	1	1	0	0
421	L	0	1	1	0	0
422	I	0	1	0	0	1
423	V	1	0	1	1	0
424	K	0	1	0	1	1
425	C	0	0	0	1	1
426	L	0	1	1	0	0
427	I	0	1	0	0	1
428	U	1	0	1	0	1
429	Q	1	0	0	0	1
430	F	0	0	1	1	0
431	S	1	0	0	1	1
432	W	1	0	1	1	1
433	R	1	0	0	1	0
434	B	0	0	0	1	0
435	N	0	1	1	1	0
436	N	0	1	1	1	0
437	C	0	0	0	1	1
438	P	1	0	0	0	0
439	V	1	0	1	1	0
440	O	0	1	1	1	1
441	V	1	0	1	1	0
442	J	0	1	0	1	0
443	Z	1	1	0	0	0
444	Q	1	0	0	0	1
445	Z	1	1	0	0	0
446	Z	1	1	0	0	0
447	S	1	0	0	1	1
448	E	0	0	1	0	1
449	T	1	0	1	0	0
450	I	0	1	0	0	1
451	L	0	1	1	0	0
452	L	0	1	1	0	0
453	J	0	1	0	1	0
454	F	0	0	1	1	0
455	C	0	0	0	1	1
456	N	0	1	1	1	0
457	M	0	1	1	0	1
458	B	0	0	0	1	0
459	H	0	1	0	0	0
460	I	0	1	0	0	1
461	M	0	1	1	0	1
462	X	0	0	0	0	0
463	X	0	0	0	0	0
464	L	0	1	1	0	0
465	I	0	1	0	0	1
466	Q	1	0	0	0	1
467	H	0	1	0	0	0
468	O	0	1	1	1	1
469	V	1	0	1	1	0
470	V	1	0	1	1	0
471	T	1	0	1	0	0
472	E	0	0	1	0	1
473	O	0	1	1	1	1
474	B	0	0	0	1	0
475	K	0	1	0	1	1
476	C	0	0	0	1	1
477	N	0	1	1	1	0
478	N	0	1	1	1	0
479	K	0	1	0	1	1
480	V	1	0	1	1	0
481	K	0	1	0	1	1
482	C	0	0	0	1	1
483	S	1	0	0	1	1
484	G	0	0	1	1	1
485	Q	1	0	0	0	1
486	Z	1	1	0	0	0
487	W	1	0	1	1	1
488	C	0	0	0	1	1
489	G	0	0	1	1	1
490	A	0	0	0	0	1
491	N	0	1	1	1	0
492	C	0	0	0	1	1
493	G	0	0	1	1	1
494	L	0	1	1	0	0
495	L	0	1	1	0	0
496	E	0	0	1	0	1
497	B	0	0	0	1	0
498	N	0	1	1	1	0
499	H	0	1	0	0	0
500	O	0	1	1	1	1
501	V	1	0	1	1	0
502	U	1	0	1	0	1
503	U	1	0	1	0	1
504	Q	1	0	0	0	1
505	S	1	0	0	1	1
506	L	0	1	1	0	0
507	A	0	0	0	0	1
508	N	0	1	1	1	0
509	K	0	1	0	1	1
510	R	1	0	0	1	0
511	V	1	0	1	1	0
512	U	1	0	1	0	1
513	Q	1	0	0	0	1
514	S	1	0	0	1	1
515	N	0	1	1	1	0
516	W	1	0	1	1	1
517	C	0	0	0	1	1
