Point	Label	A	B	C
1	B	0	1	0
2	C	0	0	1
3	B	0	1	0
4	C	0	0	1
5	B	0	1	0
6	C	0	0	1
7	B	0	1	0
8	C	0	0	1
9	B	0	1	0
10	C	0	0	1
11	B	0	1	0
12	C	0	0	1
13	B	0	1	0
14	C	0	0	1
15	B	0	1	0
16	C	0	0	1
17	B	0	1	0
18	C	0	0	1
19	B	0	1	0
20	C	0	0	1
21	B	0	1	0
22	C	0	0	1
23	B	0	1	0
24	C	0	0	1
25	B	0	1	0
26	C	0	0	1
27	B	0	1	0
28	C	0	0	1
29	B	0	1	0
30	C	0	0	1
31	B	0	1	0
32	C	0	0	1
33	B	0	1	0
34	C	0	0	1
35	B	0	1	0
36	C	0	0	1
37	B	0	1	0
38	C	0	0	1
39	B	0	1	0
40	C	0	0	1
41	B	0	1	0
42	C	0	0	1
43	B	0	1	0
44	C	0	0	1
45	B	0	1	0
46	C	0	0	1
47	B	0	1	0
48	C	0	0	1
49	B	0	1	0
50	C	0	0	1
51	B	0	1	0
52	C	0	0	1
53	B	0	1	0
54	C	0	0	1
55	B	0	1	0
56	C	0	0	1
57	B	0	1	0
58	C	0	0	1
59	B	0	1	0
60	C	0	0	1
61	B	0	1	0
62	C	0	0	1
63	B	0	1	0
64	C	0	0	1
65	B	0	1	0
66	C	0	0	1
67	B	0	1	0
68	C	0	0	1
69	B	0	1	0
70	C	0	0	1
71	B	0	1	0
72	C	0	0	1
73	B	0	1	0
74	C	0	0	1
75	B	0	1	0
76	C	0	0	1
77	B	0	1	0
78	C	0	0	1
79	B	0	1	0
80	C	0	0	1
81	B	0	1	0
82	C	0	0	1
83	B	0	1	0
84	C	0	0	1
85	B	0	1	0
86	C	0	0	1
87	B	0	1	0
88	C	0	0	1
89	B	0	1	0
90	C	0	0	1
91	B	0	1	0
92	C	0	0	1
93	B	0	1	0
94	C	0	0	1
95	B	0	1	0
96	C	0	0	1
97	B	0	1	0
98	C	0	0	1
99	B	0	1	0
100	C	0	0	1
101	B	0	1	0
102	C	0	0	1
103	B	0	1	0
104	C	0	0	1
105	B	0	1	0
106	C	0	0	1
107	B	0	1	0
108	C	0	0	1
109	B	0	1	0
110	C	0	0	1
111	B	0	1	0
112	C	0	0	1
113	B	0	1	0
114	C	0	0	1
115	B	0	1	0
116	C	0	0	1
117	B	0	1	0
118	C	0	0	1
119	B	0	1	0
120	C	0	0	1
121	B	0	1	0
122	C	0	0	1
123	B	0	1	0
124	C	0	0	1
125	B	0	1	0
126	C	0	0	1
127	B	0	1	0
128	C	0	0	1
129	B	0	1	0
130	C	0	0	1
131	B	0	1	0
132	C	0	0	1
133	B	0	1	0
134	C	0	0	1
135	B	0	1	0
136	C	0	0	1
137	B	0	1	0
138	C	0	0	1
139	B	0	1	0
140	C	0	0	1
