Point	Label	A	B	C
1	B	0.15	0.8	0.05
2	C	0.3	0.1	0.6
3	B	0.15	0.8	0.05
4	A	0.7	0.15	0.15
5	A	0.7	0.15	0.15
6	A	0.7	0.15	0.15
7	A	0.7	0.15	0.15
8	A	0.7	0.15	0.15
9	A	0.7	0.15	0.15
10	A	0.7	0.15	0.15
11	A	0.7	0.15	0.15
12	A	0.7	0.15	0.15
13	A	0.7	0.15	0.15
14	A	0.7	0.15	0.15
15	A	0.7	0.15	0.15
16	A	0.7	0.15	0.15
17	A	0.7	0.15	0.15
18	A	0.7	0.15	0.15
19	A	0.7	0.15	0.15
20	A	0.7	0.15	0.15
21	A	0.7	0.15	0.15
22	C	0.3	0.1	0.6
23	B	0.15	0.8	0.05
24	A	0.7	0.15	0.15
25	A	0.7	0.15	0.15
26	A	0.7	0.15	0.15
27	A	0.7	0.15	0.15
28	A	0.7	0.15	0.15
29	A	0.7	0.15	0.15
30	A	0.7	0.15	0.15
31	A	0.7	0.15	0.15
32	A	0.7	0.15	0.15
33	A	0.7	0.15	0.15
34	A	0.7	0.15	0.15
35	C	0.3	0.1	0.6
36	B	0.15	0.8	0.05
37	A	0.7	0.15	0.15
38	A	0.7	0.15	0.15
39	A	0.7	0.15	0.15
40	A	0.7	0.15	0.15
41	A	0.7	0.15	0.15
42	A	0.7	0.15	0.15
43	A	0.7	0.15	0.15
44	C	0.3	0.1	0.6
45	B	0.15	0.8	0.05
46	A	0.7	0.15	0.15
47	A	0.7	0.15	0.15
48	A	0.7	0.15	0.15
49	A	0.7	0.15	0.15
50	B	0.15	0.8	0.05
51	C	0.3	0.1	0.6
52	B	0.15	0.8	0.05
53	A	0.7	0.15	0.15
54	A	0.7	0.15	0.15
55	A	0.7	0.15	0.15
56	A	0.7	0.15	0.15
57	A	0.7	0.15	0.15
58	A	0.7	0.15	0.15
59	A	0.7	0.15	0.15
60	A	0.7	0.15	0.15
61	A	0.7	0.15	0.15
62	A	0.7	0.15	0.15
63	A	0.7	0.15	0.15
64	A	0.7	0.15	0.15
65	A	0.7	0.15	0.15
66	A	0.7	0.15	0.15
67	A	0.7	0.15	0.15
68	A	0.7	0.15	0.15
69	A	0.7	0.15	0.15
70	A	0.7	0.15	0.15
71	C	0.3	0.1	0.6
72	B	0.15	0.8	0.05
73	A	0.7	0.15	0.15
74	A	0.7	0.15	0.15
75	A	0.7	0.15	0.15
76	A	0.7	0.15	0.15
77	A	0.7	0.15	0.15
78	A	0.7	0.15	0.15
79	A	0.7	0.15	0.15
80	A	0.7	0.15	0.15
81	A	0.7	0.15	0.15
82	A	0.7	0.15	0.15
83	A	0.7	0.15	0.15
84	C	0.3	0.1	0.6
85	B	0.15	0.8	0.05
86	A	0.7	0.15	0.15
87	A	0.7	0.15	0.15
88	A	0.7	0.15	0.15
89	A	0.7	0.15	0.15
90	A	0.7	0.15	0.15
91	A	0.7	0.15	0.15
92	A	0.7	0.15	0.15
93	C	0.3	0.1	0.6
94	B	0.15	0.8	0.05
95	A	0.7	0.15	0.15
96	A	0.7	0.15	0.15
97	A	0.7	0.15	0.15
98	A	0.7	0.15	0.15
99	B	0.15	0.8	0.05
100	C	0.3	0.1	0.6
101	B	0.15	0.8	0.05
102	A	0.7	0.15	0.15
103	A	0.7	0.15	0.15
104	A	0.7	0.15	0.15
105	A	0.7	0.15	0.15
106	A	0.7	0.15	0.15
107	A	0.7	0.15	0.15
108	A	0.7	0.15	0.15
109	A	0.7	0.15	0.15
110	A	0.7	0.15	0.15
111	A	0.7	0.15	0.15
112	A	0.7	0.15	0.15
113	A	0.7	0.15	0.15
114	A	0.7	0.15	0.15
115	A	0.7	0.15	0.15
116	A	0.7	0.15	0.15
117	A	0.7	0.15	0.15
118	A	0.7	0.15	0.15
119	A	0.7	0.15	0.15
120	C	0.3	0.1	0.6
121	B	0.15	0.8	0.05
122	A	0.7	0.15	0.15
123	A	0.7	0.15	0.15
124	A	0.7	0.15	0.15
125	A	0.7	0.15	0.15
126	A	0.7	0.15	0.15
127	A	0.7	0.15	0.15
128	A	0.7	0.15	0.15
129	A	0.7	0.15	0.15
130	A	0.7	0.15	0.15
131	A	0.7	0.15	0.15
132	A	0.7	0.15	0.15
133	C	0.3	0.1	0.6
134	B	0.15	0.8	0.05
135	A	0.7	0.15	0.15
136	A	0.7	0.15	0.15
137	A	0.7	0.15	0.15
138	A	0.7	0.15	0.15
139	A	0.7	0.15	0.15
140	A	0.7	0.15	0.15
141	A	0.7	0.15	0.15
142	C	0.3	0.1	0.6
143	B	0.15	0.8	0.05
144	A	0.7	0.15	0.15
145	A	0.7	0.15	0.15
146	A	0.7	0.15	0.15
147	A	0.7	0.15	0.15
148	B	0.15	0.8	0.05
149	C	0.3	0.1	0.6
150	B	0.15	0.8	0.05
151	A	0.7	0.15	0.15
152	A	0.7	0.15	0.15
153	A	0.7	0.15	0.15
154	A	0.7	0.15	0.15
155	A	0.7	0.15	0.15
156	A	0.7	0.15	0.15
157	A	0.7	0.15	0.15
158	A	0.7	0.15	0.15
159	A	0.7	0.15	0.15
160	A	0.7	0.15	0.15
161	A	0.7	0.15	0.15
162	A	0.7	0.15	0.15
163	A	0.7	0.15	0.15
164	A	0.7	0.15	0.15
165	A	0.7	0.15	0.15
166	A	0.7	0.15	0.15
167	A	0.7	0.15	0.15
168	A	0.7	0.15	0.15
169	C	0.3	0.1	0.6
170	B	0.15	0.8	0.05
171	A	0.7	0.15	0.15
172	A	0.7	0.15	0.15
173	A	0.7	0.15	0.15
174	A	0.7	0.15	0.15
175	A	0.7	0.15	0.15
176	A	0.7	0.15	0.15
177	A	0.7	0.15	0.15
178	A	0.7	0.15	0.15
179	A	0.7	0.15	0.15
180	A	0.7	0.15	0.15
181	A	0.7	0.15	0.15
182	C	0.3	0.1	0.6
183	B	0.15	0.8	0.05
184	A	0.7	0.15	0.15
185	A	0.7	0.15	0.15
186	A	0.7	0.15	0.15
187	A	0.7	0.15	0.15
188	A	0.7	0.15	0.15
189	A	0.7	0.15	0.15
190	A	0.7	0.15	0.15
191	C	0.3	0.1	0.6
192	B	0.15	0.8	0.05
193	A	0.7	0.15	0.15
194	A	0.7	0.15	0.15
195	A	0.7	0.15	0.15
196	A	0.7	0.15	0.15
