Point	Label	1	2	3	4	5
1	L	0	1	1	0	0
2	K	0	1	0	1	1
3	O	0	1	1	1	1
4	U	1	0	1	0	1
5	U	1	0	1	0	1
6	T	1	0	1	0	0
7	E	0	0	1	0	1
8	O	0	1	1	1	1
9	B	0	0	0	1	0
10	P	1	0	0	0	0
11	F	0	0	1	1	0
12	R	1	0	0	1	0
13	Z	1	1	0	0	1
14	O	0	1	1	1	1
15	B	0	0	0	1	0
16	P	1	0	0	0	0
17	F	0	0	1	1	0
18	R	1	0	0	1	0
19	U	1	0	1	0	1
20	K	0	1	0	1	1
21	B	0	0	0	1	0
22	P	1	0	0	0	0
23	F	0	0	1	1	0
24	S	1	0	0	1	1
25	W	1	0	1	1	1
26	R	1	0	0	1	0
27	A	0	0	0	0	1
28	N	0	1	1	1	0
29	C	0	0	0	1	1
30	E	0	0	1	0	1
31	K	0	1	0	1	1
32	U	1	0	1	0	1
33	J	0	1	0	1	0
34	V	1	0	1	1	0
35	S	1	0	0	1	1
36	V	1	0	1	1	0
37	W	1	0	1	1	1
38	B	0	0	0	1	0
39	E	0	0	1	0	1
40	A	0	0	0	0	1
41	V	1	0	1	1	0
42	S	1	0	0	1	1
43	H	0	1	0	0	0
44	N	0	1	1	1	0
45	C	0	0	0	1	1
46	F	0	0	1	1	0
47	D	0	0	1	0	0
48	L	0	1	1	0	0
49	B	0	0	0	1	0
50	E	0	0	1	0	1
51	A	0	0	0	0	1
52	M	0	1	1	0	1
53	G	0	0	1	1	1
54	O	0	1	1	1	1
55	W	1	0	1	1	1
56	M	0	1	1	0	1
57	D	0	0	1	0	0
58	L	0	1	1	0	0
59	J	0	1	0	1	0
60	F	0	0	1	1	0
61	D	0	0	1	0	0
62	L	0	1	1	0	0
63	F	0	0	1	1	0
64	N	0	1	1	1	0
65	C	0	0	0	1	1
66	E	0	0	1	0	1
67	I	0	1	0	0	1
68	M	0	1	1	0	1
69	M	0	1	1	0	1
70	I	0	1	0	0	1
71	T	1	0	1	0	0
72	K	0	1	0	1	1
73	M	0	1	1	0	1
74	K	0	1	0	1	1
75	N	0	1	1	1	0
76	A	0	0	0	0	1
77	M	0	1	1	0	1
78	V	1	0	1	1	0
79	T	1	0	1	0	0
80	J	0	1	0	1	0
81	H	0	1	0	0	0
82	B	0	0	0	1	0
83	L	0	1	1	0	0
84	M	0	1	1	0	1
85	M	0	1	1	0	1
86	H	0	1	0	0	0
87	N	0	1	1	1	0
88	A	0	0	0	0	1
89	G	0	0	1	1	1
90	K	0	1	0	1	1
91	N	0	1	1	1	0
92	A	0	0	0	0	1
93	N	0	1	1	1	0
94	R	1	0	0	1	0
95	O	0	1	1	1	1
96	C	0	0	0	1	1
97	L	0	1	1	0	0
98	N	0	1	1	1	0
99	C	0	0	0	1	1
100	E	0	0	1	0	1
101	K	0	1	0	1	1
102	H	0	1	0	0	0
103	O	0	1	1	1	1
104	A	0	0	0	0	1
105	I	0	1	0	0	1
106	D	0	0	1	0	0
107	M	0	1	1	0	1
108	M	0	1	1	0	1
109	J	0	1	0	1	0
110	H	0	1	0	0	0
111	B	0	0	0	1	0
112	N	0	1	1	1	0
113	A	0	0	0	0	1
114	G	0	0	1	1	1
115	I	0	1	0	0	1
116	U	1	0	1	0	1
117	K	0	1	0	1	1
118	B	0	0	0	1	0
119	M	0	1	1	0	1
120	I	0	1	0	0	1
121	U	1	0	1	0	1
122	I	0	1	0	0	1
123	D	0	0	1	0	0
124	S	1	0	0	1	1
125	H	0	1	0	0	0
126	O	0	1	1	1	1
127	V	1	0	1	1	0
128	P	1	0	0	0	0
129	V	1	0	1	1	0
130	W	1	0	1	1	1
131	D	0	0	1	0	0
132	H	0	1	0	0	0
133	B	0	0	0	1	0
134	L	0	1	1	0	0
135	E	0	0	1	0	1
136	R	1	0	0	1	0
137	F	0	0	1	1	0
138	M	0	1	1	0	1
139	D	0	0	1	0	0
