Point	Label	1	2	3	4	5	6	7	8	9	Right	Left	Up	Down
1	6L	0	0	0	0	0	1	0	0	0	0	1	0	0
2	5L	0	0	0	0	1	0	0	0	0	0	1	0	0
3	7U	0	0	0	0	0	0	1	0	0	0	0	1	0
4	9U	0	0	0	0	0	0	0	0	1	0	0	1	0
5	9U	0	0	0	0	0	0	0	0	1	0	0	1	0
6	8L	0	0	0	0	0	0	0	1	0	0	1	0	0
7	3U	0	0	1	0	0	0	0	0	0	0	0	1	0
8	7U	0	0	0	0	0	0	1	0	0	0	0	1	0
9	1D	1	0	0	0	0	0	0	0	0	0	0	0	1
10	7D	0	0	0	0	0	0	1	0	0	0	0	0	1
11	3R	0	0	1	0	0	0	0	0	0	1	0	0	0
12	8U	0	0	0	0	0	0	0	1	0	0	0	1	0
13	9L	0	0	0	0	0	0	0	0	1	0	1	0	0
14	7U	0	0	0	0	0	0	1	0	0	0	0	1	0
15	1D	1	0	0	0	0	0	0	0	0	0	0	0	1
16	7D	0	0	0	0	0	0	1	0	0	0	0	0	1
17	3R	0	0	1	0	0	0	0	0	0	1	0	0	0
18	8U	0	0	0	0	0	0	0	1	0	0	0	1	0
19	9U	0	0	0	0	0	0	0	0	1	0	0	1	0
20	5L	0	0	0	0	1	0	0	0	0	0	1	0	0
21	1D	1	0	0	0	0	0	0	0	0	0	0	0	1
22	7D	0	0	0	0	0	0	1	0	0	0	0	0	1
23	3R	0	0	1	0	0	0	0	0	0	1	0	0	0
24	8D	0	0	0	0	0	0	0	1	0	0	0	0	1
25	9R	0	0	0	0	0	0	0	0	1	1	0	0	0
26	8U	0	0	0	0	0	0	0	1	0	0	0	1	0
27	1R	1	0	0	0	0	0	0	0	0	1	0	0	0
28	6U	0	0	0	0	0	1	0	0	0	0	0	1	0
29	2L	0	1	0	0	0	0	0	0	0	0	1	0	0
30	3U	0	0	1	0	0	0	0	0	0	0	0	1	0
31	5L	0	0	0	0	1	0	0	0	0	0	1	0	0
32	9U	0	0	0	0	0	0	0	0	1	0	0	1	0
33	5D	0	0	0	0	1	0	0	0	0	0	0	0	1
34	9D	0	0	0	0	0	0	0	0	1	0	0	0	1
35	8D	0	0	0	0	0	0	0	1	0	0	0	0	1
36	9D	0	0	0	0	0	0	0	0	1	0	0	0	1
37	9L	0	0	0	0	0	0	0	0	1	0	1	0	0
38	1D	1	0	0	0	0	0	0	0	0	0	0	0	1
39	3U	0	0	1	0	0	0	0	0	0	0	0	1	0
40	1R	1	0	0	0	0	0	0	0	0	1	0	0	0
41	9D	0	0	0	0	0	0	0	0	1	0	0	0	1
42	7D	0	0	0	0	0	0	1	0	0	0	0	0	1
43	4L	0	0	0	1	0	0	0	0	0	0	1	0	0
44	6U	0	0	0	0	0	1	0	0	0	0	0	1	0
45	2L	0	1	0	0	0	0	0	0	0	0	1	0	0
46	3R	0	0	1	0	0	0	0	0	0	1	0	0	0
47	2D	0	1	0	0	0	0	0	0	0	0	0	0	1
48	6L	0	0	0	0	0	1	0	0	0	0	1	0	0
49	1D	1	0	0	0	0	0	0	0	0	0	0	0	1
50	3U	0	0	1	0	0	0	0	0	0	0	0	1	0
51	1R	1	0	0	0	0	0	0	0	0	1	0	0	0
52	6R	0	0	0	0	0	1	0	0	0	1	0	0	0
53	4U	0	0	0	1	0	0	0	0	0	0	0	1	0
54	7U	0	0	0	0	0	0	1	0	0	0	0	1	0
55	9R	0	0	0	0	0	0	0	0	1	1	0	0	0
56	6R	0	0	0	0	0	1	0	0	0	1	0	0	0
57	2D	0	1	0	0	0	0	0	0	0	0	0	0	1
58	6L	0	0	0	0	0	1	0	0	0	0	1	0	0
59	5D	0	0	0	0	1	0	0	0	0	0	0	0	1
60	3R	0	0	1	0	0	0	0	0	0	1	0	0	0
61	2D	0	1	0	0	0	0	0	0	0	0	0	0	1
62	6L	0	0	0	0	0	1	0	0	0	0	1	0	0
63	3R	0	0	1	0	0	0	0	0	0	1	0	0	0
64	6U	0	0	0	0	0	1	0	0	0	0	0	1	0
65	2L	0	1	0	0	0	0	0	0	0	0	1	0	0
66	3U	0	0	1	0	0	0	0	0	0	0	0	1	0
67	5R	0	0	0	0	1	0	0	0	0	1	0	0	0
68	6R	0	0	0	0	0	1	0	0	0	1	0	0	0
69	6R	0	0	0	0	0	1	0	0	0	1	0	0	0
70	5R	0	0	0	0	1	0	0	0	0	1	0	0	0
71	8L	0	0	0	0	0	0	0	1	0	0	1	0	0
72	5L	0	0	0	0	1	0	0	0	0	0	1	0	0
73	6R	0	0	0	0	0	1	0	0	0	1	0	0	0
74	5L	0	0	0	0	1	0	0	0	0	0	1	0	0
75	6U	0	0	0	0	0	1	0	0	0	0	0	1	0
76	1R	1	0	0	0	0	0	0	0	0	1	0	0	0
77	6R	0	0	0	0	0	1	0	0	0	1	0	0	0
78	9D	0	0	0	0	0	0	0	0	1	0	0	0	1
79	8L	0	0	0	0	0	0	0	1	0	0	1	0	0
80	5D	0	0	0	0	1	0	0	0	0	0	0	0	1
81	4L	0	0	0	1	0	0	0	0	0	0	1	0	0
82	1D	1	0	0	0	0	0	0	0	0	0	0	0	1
83	6L	0	0	0	0	0	1	0	0	0	0	1	0	0
84	6R	0	0	0	0	0	1	0	0	0	1	0	0	0
85	6R	0	0	0	0	0	1	0	0	0	1	0	0	0
86	4L	0	0	0	1	0	0	0	0	0	0	1	0	0
87	6U	0	0	0	0	0	1	0	0	0	0	0	1	0
88	1R	1	0	0	0	0	0	0	0	0	1	0	0	0
89	4U	0	0	0	1	0	0	0	0	0	0	0	1	0
90	5L	0	0	0	0	1	0	0	0	0	0	1	0	0
91	6U	0	0	0	0	0	1	0	0	0	0	0	1	0
92	1R	1	0	0	0	0	0	0	0	0	1	0	0	0
93	6U	0	0	0	0	0	1	0	0	0	0	0	1	0
94	8U	0	0	0	0	0	0	0	1	0	0	0	1	0
95	7U	0	0	0	0	0	0	1	0	0	0	0	1	0
96	2L	0	1	0	0	0	0	0	0	0	0	1	0	0
97	6L	0	0	0	0	0	1	0	0	0	0	1	0	0
98	6U	0	0	0	0	0	1	0	0	0	0	0	1	0
99	2L	0	1	0	0	0	0	0	0	0	0	1	0	0
100	3U	0	0	1	0	0	0	0	0	0	0	0	1	0
101	5L	0	0	0	0	1	0	0	0	0	0	1	0	0
102	4L	0	0	0	1	0	0	0	0	0	0	1	0	0
103	7U	0	0	0	0	0	0	1	0	0	0	0	1	0
104	1R	1	0	0	0	0	0	0	0	0	1	0	0	0
105	5R	0	0	0	0	1	0	0	0	0	1	0	0	0
106	2D	0	1	0	0	0	0	0	0	0	0	0	0	1
107	6R	0	0	0	0	0	1	0	0	0	1	0	0	0
108	6R	0	0	0	0	0	1	0	0	0	1	0	0	0
109	5D	0	0	0	0	1	0	0	0	0	0	0	0	1
110	4L	0	0	0	1	0	0	0	0	0	0	1	0	0
