Point	Label	A	B	C
1	B	0	1	0
2	C	0	0	1
3	B	0	1	0
4	A	1	0	0
5	A	1	0	0
6	A	1	0	0
7	A	1	0	0
8	A	1	0	0
9	A	1	0	0
10	A	1	0	0
11	A	1	0	0
12	A	1	0	0
13	A	1	0	0
14	A	1	0	0
15	A	1	0	0
16	A	1	0	0
17	A	1	0	0
18	A	1	0	0
19	A	1	0	0
20	A	1	0	0
21	A	1	0	0
22	C	0	0	1
23	B	0	1	0
24	A	1	0	0
25	A	1	0	0
26	A	1	0	0
27	A	1	0	0
28	A	1	0	0
29	A	1	0	0
30	A	1	0	0
31	A	1	0	0
32	A	1	0	0
33	A	1	0	0
34	A	1	0	0
35	C	0	0	1
36	B	0	1	0
37	A	1	0	0
38	A	1	0	0
39	A	1	0	0
40	A	1	0	0
41	A	1	0	0
42	A	1	0	0
43	A	1	0	0
44	C	0	0	1
45	B	0	1	0
46	A	1	0	0
47	A	1	0	0
48	A	1	0	0
49	A	1	0	0
50	B	0	1	0
51	C	0	0	1
52	B	0	1	0
53	A	1	0	0
54	A	1	0	0
55	A	1	0	0
56	A	1	0	0
57	A	1	0	0
58	A	1	0	0
59	A	1	0	0
60	A	1	0	0
61	A	1	0	0
62	A	1	0	0
63	A	1	0	0
64	A	1	0	0
65	A	1	0	0
66	A	1	0	0
67	A	1	0	0
68	A	1	0	0
69	A	1	0	0
70	A	1	0	0
71	C	0	0	1
72	B	0	1	0
73	A	1	0	0
74	A	1	0	0
75	A	1	0	0
76	A	1	0	0
77	A	1	0	0
78	A	1	0	0
79	A	1	0	0
80	A	1	0	0
81	A	1	0	0
82	A	1	0	0
83	A	1	0	0
84	C	0	0	1
85	B	0	1	0
86	A	1	0	0
87	A	1	0	0
88	A	1	0	0
89	A	1	0	0
90	A	1	0	0
91	A	1	0	0
92	A	1	0	0
93	C	0	0	1
94	B	0	1	0
95	A	1	0	0
96	A	1	0	0
97	A	1	0	0
98	A	1	0	0
99	B	0	1	0
100	C	0	0	1
101	B	0	1	0
102	A	1	0	0
103	A	1	0	0
104	A	1	0	0
105	A	1	0	0
106	A	1	0	0
107	A	1	0	0
108	A	1	0	0
109	A	1	0	0
110	A	1	0	0
111	A	1	0	0
112	A	1	0	0
113	A	1	0	0
114	A	1	0	0
115	A	1	0	0
116	A	1	0	0
117	A	1	0	0
118	A	1	0	0
119	A	1	0	0
120	C	0	0	1
121	B	0	1	0
122	A	1	0	0
123	A	1	0	0
124	A	1	0	0
125	A	1	0	0
126	A	1	0	0
127	A	1	0	0
128	A	1	0	0
129	A	1	0	0
130	A	1	0	0
131	A	1	0	0
132	A	1	0	0
133	C	0	0	1
134	B	0	1	0
135	A	1	0	0
136	A	1	0	0
137	A	1	0	0
138	A	1	0	0
139	A	1	0	0
140	A	1	0	0
141	A	1	0	0
142	C	0	0	1
143	B	0	1	0
144	A	1	0	0
145	A	1	0	0
146	A	1	0	0
147	A	1	0	0
148	B	0	1	0
149	C	0	0	1
150	B	0	1	0
151	A	1	0	0
152	A	1	0	0
153	A	1	0	0
154	A	1	0	0
155	A	1	0	0
156	A	1	0	0
157	A	1	0	0
158	A	1	0	0
159	A	1	0	0
160	A	1	0	0
161	A	1	0	0
162	A	1	0	0
163	A	1	0	0
164	A	1	0	0
165	A	1	0	0
166	A	1	0	0
167	A	1	0	0
168	A	1	0	0
169	C	0	0	1
170	B	0	1	0
171	A	1	0	0
172	A	1	0	0
173	A	1	0	0
174	A	1	0	0
175	A	1	0	0
176	A	1	0	0
177	A	1	0	0
178	A	1	0	0
179	A	1	0	0
180	A	1	0	0
181	A	1	0	0
182	C	0	0	1
183	B	0	1	0
184	A	1	0	0
185	A	1	0	0
186	A	1	0	0
187	A	1	0	0
188	A	1	0	0
189	A	1	0	0
190	A	1	0	0
191	C	0	0	1
192	B	0	1	0
193	A	1	0	0
194	A	1	0	0
195	A	1	0	0
196	A	1	0	0
197	X	0	0	0
