Point	Label	A	B	C
1	A	1	0	0
2	B	0	1	0
3	C	0	0	1
4	C	0	0	1
5	C	0	0	1
6	B	0	1	0
7	A	1	0	0
8	B	0	1	0
9	C	0	0	1
10	C	0	0	1
11	A	1	0	0
12	A	1	0	0
13	A	1	0	0
14	B	0	1	0
15	B	0	1	0
16	B	0	1	0
17	C	0	0	1
18	C	0	0	1
19	C	0	0	1
20	B	0	1	0
21	A	1	0	0
22	B	0	1	0
23	C	0	0	1
24	B	0	1	0
25	A	1	0	0
26	B	0	1	0
27	C	0	0	1
28	B	0	1	0
29	A	1	0	0
30	B	0	1	0
31	C	0	0	1
32	B	0	1	0
33	A	1	0	0
34	A	1	0	0
35	B	0	1	0
36	A	1	0	0
37	B	0	1	0
38	C	0	0	1
39	C	0	0	1
40	C	0	0	1
41	B	0	1	0
42	A	1	0	0
43	B	0	1	0
44	C	0	0	1
45	C	0	0	1
46	A	1	0	0
47	A	1	0	0
48	A	1	0	0
49	B	0	1	0
50	B	0	1	0
51	B	0	1	0
52	C	0	0	1
53	C	0	0	1
54	C	0	0	1
55	B	0	1	0
56	A	1	0	0
57	B	0	1	0
58	C	0	0	1
59	B	0	1	0
60	A	1	0	0
61	B	0	1	0
62	C	0	0	1
63	B	0	1	0
64	A	1	0	0
65	B	0	1	0
66	C	0	0	1
67	B	0	1	0
68	A	1	0	0
69	A	1	0	0
70	B	0	1	0
71	A	1	0	0
72	B	0	1	0
73	C	0	0	1
74	C	0	0	1
75	C	0	0	1
76	B	0	1	0
77	A	1	0	0
78	B	0	1	0
79	C	0	0	1
80	C	0	0	1
81	A	1	0	0
82	A	1	0	0
83	A	1	0	0
84	B	0	1	0
85	B	0	1	0
86	B	0	1	0
87	C	0	0	1
88	C	0	0	1
89	C	0	0	1
90	B	0	1	0
91	A	1	0	0
92	B	0	1	0
93	C	0	0	1
94	B	0	1	0
95	A	1	0	0
96	B	0	1	0
97	C	0	0	1
98	B	0	1	0
99	A	1	0	0
100	B	0	1	0
101	C	0	0	1
102	B	0	1	0
103	A	1	0	0
104	A	1	0	0
105	B	0	1	0
106	A	1	0	0
107	B	0	1	0
108	C	0	0	1
109	C	0	0	1
110	C	0	0	1
111	B	0	1	0
112	A	1	0	0
113	B	0	1	0
114	C	0	0	1
115	C	0	0	1
116	A	1	0	0
117	A	1	0	0
118	A	1	0	0
119	B	0	1	0
120	B	0	1	0
121	B	0	1	0
122	C	0	0	1
123	C	0	0	1
124	C	0	0	1
125	B	0	1	0
126	A	1	0	0
127	B	0	1	0
128	C	0	0	1
129	B	0	1	0
130	A	1	0	0
131	B	0	1	0
132	C	0	0	1
133	B	0	1	0
134	A	1	0	0
135	B	0	1	0
136	C	0	0	1
137	B	0	1	0
138	A	1	0	0
139	A	1	0	0
140	B	0	1	0
141	A	1	0	0
142	B	0	1	0
143	C	0	0	1
144	C	0	0	1
145	C	0	0	1
146	B	0	1	0
147	A	1	0	0
148	B	0	1	0
149	C	0	0	1
150	C	0	0	1
151	A	1	0	0
152	A	1	0	0
153	A	1	0	0
154	B	0	1	0
155	B	0	1	0
156	B	0	1	0
157	C	0	0	1
158	C	0	0	1
159	C	0	0	1
160	B	0	1	0
161	A	1	0	0
162	B	0	1	0
163	C	0	0	1
164	B	0	1	0
165	A	1	0	0
166	B	0	1	0
167	C	0	0	1
168	B	0	1	0
169	A	1	0	0
170	B	0	1	0
171	C	0	0	1
172	B	0	1	0
173	A	1	0	0
174	A	1	0	0
175	B	0	1	0
176	A	1	0	0
177	B	0	1	0
178	C	0	0	1
179	C	0	0	1
180	C	0	0	1
181	B	0	1	0
182	A	1	0	0
183	B	0	1	0
184	C	0	0	1
185	C	0	0	1
186	A	1	0	0
187	A	1	0	0
188	A	1	0	0
189	B	0	1	0
190	B	0	1	0
191	B	0	1	0
192	C	0	0	1
193	C	0	0	1
194	C	0	0	1
195	B	0	1	0
196	A	1	0	0
197	B	0	1	0
198	C	0	0	1
199	B	0	1	0
200	A	1	0	0
