Point	Label	A	B	C
1	A	0	0	1
2	B	0	1	0
3	C	0	1	1
4	D	1	0	0
5	E	1	0	1
6	F	1	1	0
7	G	1	1	1
8	A	0	0	1
9	B	0	1	0
10	A	0	0	1
11	B	0	1	0
12	C	0	1	1
13	D	1	0	0
14	E	1	0	1
15	F	1	1	0
16	G	1	1	1
17	B	0	1	0
18	C	0	1	1
19	A	0	0	1
20	B	0	1	0
21	C	0	1	1
22	D	1	0	0
23	E	1	0	1
24	F	1	1	0
25	G	1	1	1
26	B	0	1	0
27	C	0	1	1
28	A	0	0	1
29	B	0	1	0
30	C	0	1	1
31	D	1	0	0
32	E	1	0	1
33	F	1	1	0
34	G	1	1	1
35	C	0	1	1
36	A	0	0	1
37	B	0	1	0
38	C	0	1	1
39	D	1	0	0
40	E	1	0	1
41	F	1	1	0
42	G	1	1	1
43	A	0	0	1
44	B	0	1	0
45	A	0	0	1
46	B	0	1	0
47	C	0	1	1
48	D	1	0	0
49	E	1	0	1
50	F	1	1	0
51	G	1	1	1
52	B	0	1	0
53	C	0	1	1
54	A	0	0	1
55	B	0	1	0
56	C	0	1	1
57	D	1	0	0
58	E	1	0	1
59	F	1	1	0
60	G	1	1	1
61	B	0	1	0
62	C	0	1	1
63	A	0	0	1
64	B	0	1	0
65	C	0	1	1
66	D	1	0	0
67	E	1	0	1
68	F	1	1	0
69	G	1	1	1
70	C	0	1	1
71	A	0	0	1
72	B	0	1	0
73	C	0	1	1
74	D	1	0	0
75	E	1	0	1
76	F	1	1	0
77	G	1	1	1
78	A	0	0	1
79	B	0	1	0
80	A	0	0	1
81	B	0	1	0
82	C	0	1	1
83	D	1	0	0
84	E	1	0	1
85	F	1	1	0
86	G	1	1	1
87	B	0	1	0
88	C	0	1	1
89	A	0	0	1
90	B	0	1	0
91	C	0	1	1
92	D	1	0	0
93	E	1	0	1
94	F	1	1	0
95	G	1	1	1
96	B	0	1	0
97	C	0	1	1
98	A	0	0	1
99	B	0	1	0
100	C	0	1	1
101	D	1	0	0
102	E	1	0	1
103	F	1	1	0
104	G	1	1	1
105	C	0	1	1
106	A	0	0	1
107	B	0	1	0
108	C	0	1	1
109	D	1	0	0
110	E	1	0	1
111	F	1	1	0
112	G	1	1	1
113	A	0	0	1
114	B	0	1	0
115	A	0	0	1
116	B	0	1	0
117	C	0	1	1
118	D	1	0	0
119	E	1	0	1
120	F	1	1	0
121	G	1	1	1
122	B	0	1	0
123	C	0	1	1
124	A	0	0	1
125	B	0	1	0
126	C	0	1	1
127	D	1	0	0
128	E	1	0	1
129	F	1	1	0
130	G	1	1	1
131	B	0	1	0
132	C	0	1	1
133	A	0	0	1
134	B	0	1	0
135	C	0	1	1
136	D	1	0	0
137	E	1	0	1
138	F	1	1	0
139	G	1	1	1
140	C	0	1	1
141	A	0	0	1
142	B	0	1	0
143	C	0	1	1
144	D	1	0	0
145	E	1	0	1
146	F	1	1	0
147	G	1	1	1
148	A	0	0	1
149	B	0	1	0
150	A	0	0	1
151	B	0	1	0
152	C	0	1	1
153	D	1	0	0
154	E	1	0	1
155	F	1	1	0
156	G	1	1	1
157	B	0	1	0
158	C	0	1	1
159	A	0	0	1
160	B	0	1	0
161	C	0	1	1
162	D	1	0	0
163	E	1	0	1
164	F	1	1	0
165	G	1	1	1
166	B	0	1	0
167	C	0	1	1
168	A	0	0	1
169	B	0	1	0
170	C	0	1	1
171	D	1	0	0
172	E	1	0	1
173	F	1	1	0
174	G	1	1	1
175	C	0	1	1
176	A	0	0	1
177	B	0	1	0
178	C	0	1	1
179	D	1	0	0
180	E	1	0	1
181	F	1	1	0
182	G	1	1	1
183	A	0	0	1
184	B	0	1	0
185	A	0	0	1
186	B	0	1	0
187	C	0	1	1
188	D	1	0	0
189	E	1	0	1
190	F	1	1	0
191	G	1	1	1
192	B	0	1	0
193	C	0	1	1
194	A	0	0	1
195	B	0	1	0
196	C	0	1	1
197	D	1	0	0
198	E	1	0	1
199	F	1	1	0
200	G	1	1	1
201	B	0	1	0
202	C	0	1	1
203	A	0	0	1
204	B	0	1	0
205	C	0	1	1
206	D	1	0	0
207	E	1	0	1
208	F	1	1	0
209	G	1	1	1
210	C	0	1	1
