S	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
Move1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Move2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Move3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Move4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Move5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Move6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Move7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Move8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Move9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Move10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Move11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Move12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Move13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Move14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Move15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Move16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
